GO:0000015	phosphopyruvate hydratase complex
GO:0031598	nuclear proteasome regulatory particle
GO:0031600	cytosolic proteasome regulatory particle
GO:0031601	nuclear proteasome core complex
GO:0031603	cytosolic proteasome core complex
GO:0031604	nuclear proteasome core complex, alpha-subunit complex
GO:0031606	cytosolic proteasome core complex, alpha-subunit complex
GO:0031607	nuclear proteasome core complex, beta-subunit complex
GO:0031609	cytosolic proteasome core complex, beta-subunit complex
GO:0031610	nuclear proteasome regulatory particle, base subcomplex
GO:0031612	cytosolic proteasome regulatory particle, base subcomplex
GO:0031613	nuclear proteasome regulatory particle, lid subcomplex
GO:0031615	cytosolic proteasome regulatory particle, lid subcomplex
GO:0031617	NMS complex
GO:0031680	G-protein beta/gamma-subunit complex
GO:0031838	haptoglobin-hemoglobin complex
GO:0031897	Tic complex
GO:0031913	contractile vacuole pore
GO:0031931	TORC1 complex
GO:0031932	TORC2 complex
GO:0031941	filamentous actin
GO:0031942	i-AAA complex
GO:0032002	interleukin-28 receptor complex
GO:0032021	NELF complex
GO:0032039	integrator complex
GO:0032040	small-subunit processome
GO:0032044	DSIF complex
GO:0032045	guanyl-nucleotide exchange factor complex
GO:0032068	type IV site-specific deoxyribonuclease complex
GO:0032116	SMC loading complex
GO:0032133	chromosome passenger complex
GO:0032144	4-aminobutyrate transaminase complex
GO:0032151	mitotic septin complex
GO:0032152	meiotic septin complex
GO:0032221	Rpd3S/Clr6-CII complex
GO:0032281	AMPA glutamate receptor complex
GO:0032282	plastid acetyl-CoA carboxylase complex
GO:0032283	plastid acetate CoA-transferase complex
GO:0032284	plastid biotin carboxylase complex
GO:0032299	ribonuclease H2 complex
GO:0032300	mismatch repair complex
GO:0032301	MutSalpha complex
GO:0032302	MutSbeta complex
GO:0032311	angiogenin-PRI complex
GO:0032389	MutLalpha complex
GO:0032390	MutLbeta complex
GO:0032398	MHC class Ib protein complex
GO:0032444	activin responsive factor complex
GO:0032449	CBM complex
GO:0032476	decaprenyl diphosphate synthase complex
GO:0032477	homodimeric decaprenyl diphosphate synthase complex
GO:0032478	heterotetrameric decaprenyl diphosphate synthase complex
GO:0032517	SOD1-calcineurin complex
GO:0032545	CURI complex
GO:0032766	NHE3/E3KARP/ACTN4 complex
GO:0032777	Piccolo NuA4 histone acetyltransferase complex
GO:0032783	super elongation complex
GO:0032797	SMN complex
GO:0032798	Swi5-Sfr1 complex
GO:0032806	carboxy-terminal domain protein kinase complex
GO:0032807	DNA ligase IV complex
GO:0032865	ERMES complex
GO:0032921	sarcosine oxidase complex
GO:0032936	SREBP-SCAP complex
GO:0032937	SREBP-SCAP-Insig complex
GO:0032969	endosomal scaffold complex
GO:0032983	kainate selective glutamate receptor complex
GO:0032992	protein-carbohydrate complex
GO:0032993	protein-DNA complex
GO:0032994	protein-lipid complex
GO:0032996	Bcl3-Bcl10 complex
GO:0032997	Fc receptor complex
GO:0032998	Fc-epsilon receptor I complex
GO:0032999	Fc-alpha receptor I complex
GO:0033000	Fc-gamma receptor I complex
GO:0033001	Fc-gamma receptor III complex
GO:0033061	DNA recombinase mediator complex
GO:0033062	Rhp55-Rhp57 complex
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0033064	XRCC2-RAD51D complex
GO:0033065	Rad51C-XRCC3 complex
GO:0033066	Rad51B-Rad51C complex
GO:0033100	NuA3 histone acetyltransferase complex
GO:0033104	type VI protein secretion system complex
GO:0033167	ARC complex
GO:0033174	chloroplast proton-transporting ATP synthase complex, catalytic core CF(1)
GO:0033175	chloroplast proton-transporting ATP synthase complex, coupling factor CF(o)
GO:0033176	proton-transporting V-type ATPase complex
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0033181	plasma membrane proton-transporting V-type ATPase complex
GO:0033185	dolichol-phosphate-mannose synthase complex
GO:0033186	CAF-1 complex
GO:0033193	Lsd1/2 complex
GO:0033202	DNA helicase complex
GO:0033203	DNA helicase A complex
GO:0033254	vacuolar transporter chaperone complex
GO:0033255	SAS acetyltransferase complex
GO:0033256	I-kappaB/NF-kappaB complex
GO:0033257	Bcl3/NF-kappaB2 complex
GO:0033263	CORVET complex
GO:0033276	transcription factor TFTC complex
GO:0033281	TAT protein transport complex
GO:0033282	protein C inhibitor-acrosin complex
GO:0033290	eukaryotic 48S preinitiation complex
GO:0033291	eukaryotic 80S initiation complex
GO:0033309	SBF transcription complex
GO:0033503	HULC complex
GO:0033551	monopolin complex
GO:0033557	Slx1-Slx4 complex
GO:0033565	ESCRT-0 complex
GO:0033573	high-affinity iron permease complex
GO:0033588	Elongator holoenzyme complex
GO:0033593	BRCA2-MAGE-D1 complex
GO:0033596	TSC1-TSC2 complex
GO:0033597	mitotic checkpoint complex
GO:0033607	SOD1-Bcl-2 complex
GO:0033620	Mei2 nuclear dot complex
GO:0033698	Rpd3L complex
GO:0033768	SUMO-targeted ubiquitin ligase complex
GO:0034044	exomer complex
GO:0034064	Tor2-Mei2-Ste11 complex
GO:0034066	RIC1-RGP1 guanyl-nucleotide exchange factor complex
GO:0034081	polyketide synthase complex
GO:0034082	type II polyketide synthase complex
GO:0034083	type III polyketide synthase complex
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
GO:0034099	luminal surveillance complex
GO:0034206	enhanceosome
GO:0034245	mitochondrial DNA-directed RNA polymerase complex
GO:0034270	Cvt complex
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II
GO:0034274	Atg12-Atg5-Atg16 complex
GO:0034358	plasma lipoprotein particle
GO:0034359	mature chylomicron
GO:0034360	chylomicron remnant
GO:0034361	very-low-density lipoprotein particle
GO:0034362	low-density lipoprotein particle
GO:0034363	intermediate-density lipoprotein particle
GO:0034364	high-density lipoprotein particle
GO:0034365	discoidal high-density lipoprotein particle
GO:0034366	spherical high-density lipoprotein particle
GO:0034385	triglyceride-rich plasma lipoprotein particle
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
GO:0034424	Vps55/Vps68 complex
GO:0034448	EGO complex
GO:0034455	t-UTP complex
GO:0034456	UTP-C complex
GO:0034457	Mpp10 complex
GO:0034464	BBSome
GO:0034515	proteasome storage granule
GO:0034518	RNA cap binding complex
GO:0034519	cytoplasmic RNA cap binding complex
GO:0034615	GCH1 complex
GO:0034657	GID complex
GO:0034662	CFTR-NHERF-ezrin complex
GO:0034663	endoplasmic reticulum chaperone complex
GO:0034664	Ig heavy chain-bound endoplasmic reticulum chaperone complex
GO:0034665	integrin alpha1-beta1 complex
GO:0034666	integrin alpha2-beta1 complex
GO:0034667	integrin alpha3-beta1 complex
GO:0034668	integrin alpha4-beta1 complex
GO:0034669	integrin alpha4-beta7 complex
GO:0034673	inhibin-betaglycan-ActRII complex
GO:0034674	integrin alpha5-beta1 complex
GO:0034675	integrin alpha6-beta1 complex
GO:0034676	integrin alpha6-beta4 complex
GO:0034677	integrin alpha7-beta1 complex
GO:0034678	integrin alpha8-beta1 complex
GO:0034679	integrin alpha9-beta1 complex
GO:0034680	integrin alpha10-beta1 complex
GO:0034681	integrin alpha11-beta1 complex
GO:0034682	integrin alphav-beta1 complex
GO:0034683	integrin alphav-beta3 complex
GO:0034684	integrin alphav-beta5 complex
GO:0034685	integrin alphav-beta6 complex
GO:0034686	integrin alphav-beta8 complex
GO:0034687	integrin alphaL-beta2 complex
GO:0034688	integrin alphaM-beta2 complex
GO:0034689	integrin alphaX-beta2 complex
GO:0034690	integrin alphaD-beta2 complex
GO:0034691	integrin alphaE-beta7 complex
GO:0034692	E.F.G complex
GO:0034693	U11/U12 snRNP
GO:0034702	ion channel complex
GO:0034703	cation channel complex
GO:0034704	calcium channel complex
GO:0034705	potassium channel complex
GO:0034706	sodium channel complex
GO:0034707	chloride channel complex
GO:0034708	methyltransferase complex
GO:0034709	methylosome
GO:0034715	pICln-Sm protein complex
GO:0034716	Gemin3-Gemin4-Gemin5 complex
GO:0034717	Gemin6-Gemin7-unrip complex
GO:0034718	SMN-Gemin2 complex
GO:0034719	SMN-Sm protein complex
GO:0034730	SmD-containing SMN-Sm protein complex
GO:0034731	Lsm-containing SMN-Sm protein complex
GO:0034732	transcription factor TFIIIB-alpha complex
GO:0034733	transcription factor TFIIIB-beta complex
GO:0034734	transcription factor TFIIIC1 complex
GO:0034735	transcription factor TFIIIC2 complex
GO:0034740	TFIIIC-TOP1-SUB1 complex
GO:0034741	APC-tubulin-IQGAP1 complex
GO:0034743	APC-IQGAP complex
GO:0034744	APC-IQGAP1-Cdc42 complex
GO:0034745	APC-IQGAP1-Rac1 complex
GO:0034746	APC-IQGAP1-CLIP-170 complex
GO:0034748	Par3-APC-KIF3A complex
GO:0034749	Scrib-APC complex
GO:0034750	Scrib-APC-beta-catenin complex
GO:0034751	aryl hydrocarbon receptor complex
GO:0034752	cytosolic aryl hydrocarbon receptor complex
GO:0034753	nuclear aryl hydrocarbon receptor complex
GO:0034967	Set3 complex
GO:0034973	Sid2-Mob1 complex
GO:0034974	Swi5-Swi2 complex
GO:0034977	ABIN2-NFKB1-MAP3K8 complex
GO:0034978	PDX1-PBX1b-MRG1 complex
GO:0034980	FHL2-CREB complex
GO:0034981	FHL3-CREB complex
GO:0034985	Ecsit-NDUFAF1 complex
GO:0034990	nuclear mitotic cohesin complex
GO:0034991	nuclear meiotic cohesin complex
GO:0034993	meiotic nuclear membrane microtubule tethering complex
GO:0034995	SC5b-7 complex
GO:0034996	RasGAP-Fyn-Lyn-Yes complex
GO:0034997	alphav-beta5 integrin-vitronectin complex
GO:0034998	oligosaccharyltransferase I complex
GO:0034999	oligosaccharyltransferase II complex
GO:0035000	oligosaccharyltransferase III complex
GO:0035003	subapical complex
GO:0035032	phosphatidylinositol 3-kinase complex, class III
GO:0035059	RCAF complex
GO:0035060	brahma complex
GO:0035097	histone methyltransferase complex
GO:0035098	ESC/E(Z) complex
GO:0035101	FACT complex
GO:0035102	PRC1 complex
GO:0035145	exon-exon junction complex
GO:0035189	Rb-E2F complex
GO:0035267	NuA4 histone acetyltransferase complex
GO:0035301	Hedgehog signaling complex
GO:0035339	SPOTS complex
GO:0035354	Toll-like receptor 1-Toll-like receptor 2 protein complex
GO:0035355	Toll-like receptor 2-Toll-like receptor 6 protein complex
GO:0035361	Cul8-RING ubiquitin ligase complex
GO:0035369	pre-B cell receptor complex
GO:0035370	UBC13-UEV1A complex
GO:0035517	PR-DUB complex
GO:0035525	NF-kappaB p50/p65 complex
GO:0035550	urease complex
GO:0035631	CD40 receptor complex
GO:0035632	mitochondrial prohibitin complex
GO:0035649	Nrd1 complex
GO:0035657	eRF1 methyltransferase complex
GO:0035658	Mon1-Ccz1 complex
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:0035693	NOS2-CD74 complex
GO:0035796	ATP-binding cassette (ABC) transporter complex, transmembrane substrate-binding subunit-containing
GO:0035808	meiotic recombination initiation complex
GO:0035859	Seh1-associated complex
GO:0035866	alphav-beta3 integrin-PKCalpha complex
GO:0035867	alphav-beta3 integrin-IGF-1-IGF1R complex
GO:0035868	alphav-beta3 integrin-HMGB1 complex
GO:0035976	transcription factor AP-1 complex
GO:0036024	protein C inhibitor-TMPRSS7 complex
GO:0036025	protein C inhibitor-TMPRSS11E complex
GO:0036026	protein C inhibitor-PLAT complex
GO:0036027	protein C inhibitor-PLAU complex
GO:0036028	protein C inhibitor-thrombin complex
GO:0036029	protein C inhibitor-KLK3 complex
GO:0036030	protein C inhibitor-plasma kallikrein complex
GO:0036038	MKS complex
GO:0036053	glomerular endothelium fenestra
GO:0036087	glutathione synthase complex
GO:0036125	fatty acid beta-oxidation multienzyme complex
GO:0036128	CatSper complex
GO:0036156	inner dynein arm
GO:0036157	outer dynein arm
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex
GO:0036284	tubulobulbar complex
GO:0036286	eisosome filament
GO:0036375	Kibra-Ex-Mer complex
GO:0036387	pre-replicative complex
GO:0036389	bacterial pre-replicative complex
GO:0036396	RNA N6-methyladenosine methyltransferase complex
GO:0036398	TCR signalosome
GO:0036409	histone H3-K14 acetyltransferase complex
GO:0036410	Mst2 histone acetyltransferase complex
GO:0036411	H-NS-Cnu complex
GO:0036436	Isw1a complex
GO:0036437	Isw1b complex
GO:0036452	ESCRT complex
GO:0036454	growth factor complex
GO:0036488	CHOP-C/EBP complex
GO:0036501	UFD1-NPL4 complex
GO:0036502	Derlin-1-VIMP complex
GO:0036513	Derlin-1 retrotranslocation complex
GO:0038037	G protein-coupled receptor dimeric complex
GO:0038038	G protein-coupled receptor homodimeric complex
GO:0038039	G protein-coupled receptor heterodimeric complex
GO:0038045	large latent transforming growth factor-beta complex
GO:0038059	IKKalpha-IKKalpha complex
GO:0038104	nodal receptor complex
GO:0038139	ERBB4-EGFR complex
GO:0038140	ERBB4-ERBB3 complex
GO:0038141	ERBB4-ERBB4 complex
GO:0038142	EGFR:ERBB2 complex
GO:0038143	ERBB3:ERBB2 complex
GO:0038144	ERBB4:ERBB2 complex
GO:0038197	type I interferon receptor complex
GO:0038201	TOR complex
GO:0039658	TBK1-IKKE-DDX3 complex
GO:0042022	interleukin-12 receptor complex
GO:0042101	T cell receptor complex
GO:0042105	alpha-beta T cell receptor complex
GO:0042106	gamma-delta T cell receptor complex
GO:0042272	nuclear RNA export factor complex
GO:0042385	myosin III complex
GO:0042555	MCM complex
GO:0042564	NLS-dependent protein nuclear import complex
GO:0042565	RNA nuclear export complex
GO:0042567	insulin-like growth factor ternary complex
GO:0042568	insulin-like growth factor binary complex
GO:0042571	immunoglobulin complex, circulating
GO:0042575	DNA polymerase complex
GO:0042611	MHC protein complex
GO:0042612	MHC class I protein complex
GO:0042613	MHC class II protein complex
GO:0042627	chylomicron
GO:0042642	actomyosin, myosin complex part
GO:0042652	mitochondrial respiratory chain complex I, peripheral segment
GO:0042653	mitochondrial respiratory chain complex I, membrane segment
GO:0042709	succinate-CoA ligase complex
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0042720	mitochondrial inner membrane peptidase complex
GO:0042721	TIM22 mitochondrial import inner membrane insertion complex
GO:0042729	DASH complex
GO:0042765	GPI-anchor transamidase complex
GO:0042824	MHC class I peptide loading complex
GO:0042825	TAP complex
GO:0043020	NADPH oxidase complex
GO:0043033	isoamylase complex
GO:0043189	H4/H2A histone acetyltransferase complex
GO:0043190	ATP-binding cassette (ABC) transporter complex
GO:0043223	cytoplasmic SCF ubiquitin ligase complex
GO:0043224	nuclear SCF ubiquitin ligase complex
GO:0043235	receptor complex
GO:0043240	Fanconi anaemia nuclear complex
GO:0043256	laminin complex
GO:0043257	laminin-8 complex
GO:0043258	laminin-9 complex
GO:0043259	laminin-10 complex
GO:0043260	laminin-11 complex
GO:0043261	laminin-12 complex
GO:0043291	RAVE complex
GO:0043293	apoptosome
GO:0043294	mitochondrial glutamate synthase complex (NADH)
GO:0043384	pre-T cell receptor complex
GO:0043493	viral terminase complex
GO:0043494	CLRC complex
GO:0043505	CENP-A containing nucleosome
GO:0043509	activin A complex
GO:0043510	activin B complex
GO:0043511	inhibin complex
GO:0043512	inhibin A complex
GO:0043513	inhibin B complex
GO:0043514	interleukin-12 complex
GO:0043527	tRNA methyltransferase complex
GO:0043528	tRNA (m2G10) methyltransferase complex
GO:0043529	GET complex
GO:0043540	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex
GO:0043541	UDP-N-acetylglucosamine transferase complex
GO:0043564	Ku70:Ku80 complex
GO:0043598	cytoplasmic DNA replication factor C complex
GO:0043599	nuclear DNA replication factor C complex
GO:0043600	cytoplasmic replisome
GO:0043601	nuclear replisome
GO:0043614	multi-eIF complex
GO:0043625	delta DNA polymerase complex
GO:0043626	PCNA complex
GO:0043684	type IV secretion system complex
GO:0043769	Tpg-containing telomere binding complex
GO:0043845	DNA polymerase III, proofreading complex
GO:0043846	DNA polymerase III, clamp loader complex
GO:0043847	DNA polymerase III, clamp loader chi/psi subcomplex
GO:0043850	RecFOR complex
GO:0043853	methanol-CoM methyltransferase complex
GO:0044207	translation initiation ternary complex
GO:0044391	ribosomal subunit
GO:0044530	supraspliceosomal complex
GO:0044545	NSL complex
GO:0044567	primary cell wall cellulose synthase complex
GO:0044568	secondary cell wall cellulose synthase complex
GO:0044569	[Ni-Fe] hydrogenase complex
GO:0044570	starch utilization system complex
GO:0044599	AP-5 adaptor complex
GO:0044609	DBIRD complex
GO:0044611	nuclear pore inner ring
GO:0044612	nuclear pore linkers
GO:0044613	nuclear pore central transport channel
GO:0044614	nuclear pore cytoplasmic filaments
GO:0044615	nuclear pore nuclear basket
GO:0044665	MLL1/2 complex
GO:0044666	MLL3/4 complex
GO:0044672	acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex
GO:0044673	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase complex
GO:0044674	methyl coenzyme M reductase complex
GO:0044675	formyl-methanofuran dehydrogenase (tungsten enzyme) complex
GO:0044676	formyl-methanofuran dehydrogenase (molybdenum enzyme) complex
GO:0044677	methyl-tetrahydromethanopterin:coenzyme M methyltransferase complex
GO:0044678	CoB-CoM heterodisulfide reductase complex
GO:0044679	methanophenazine reducing hydrogenase complex
GO:0044680	methylthiol:coenzyme M methyltransferase complex
GO:0044681	sulfopyruvate decarboxylase complex
GO:0044695	Dsc E3 ubiquitin ligase complex
GO:0044697	HICS complex
GO:0044731	Ost-alpha/Ost-beta complex
GO:0044775	DNA polymerase III, beta sliding clamp processivity factor complex
GO:0044776	DNA polymerase III, core complex
GO:0044777	single-stranded DNA-binding protein complex
GO:0044796	DNA polymerase processivity factor complex
GO:0044799	NarGHI complex
GO:0044815	DNA packaging complex
GO:0044816	Nsk1-Dlc1 complex
GO:0044834	retroviral intasome
GO:0045025	mitochondrial degradosome
GO:0045092	interleukin-18 receptor complex
GO:0045160	myosin I complex
GO:0045239	tricarboxylic acid cycle enzyme complex
GO:0045240	dihydrolipoyl dehydrogenase complex
GO:0045241	cytosolic alpha-ketoglutarate dehydrogenase complex
GO:0045242	isocitrate dehydrogenase complex (NAD+)
GO:0045243	cytosolic isocitrate dehydrogenase complex (NAD+)
GO:0045244	succinate-CoA ligase complex (GDP-forming)
GO:0045246	cytosolic tricarboxylic acid cycle enzyme complex
GO:0045247	cytosolic electron transfer flavoprotein complex
GO:0045248	cytosolic oxoglutarate dehydrogenase complex
GO:0045249	cytosol pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0045250	cytosolic pyruvate dehydrogenase complex
GO:0045251	electron transfer flavoprotein complex
GO:0045252	oxoglutarate dehydrogenase complex
GO:0045253	pyruvate dehydrogenase (lipoamide) phosphatase complex
GO:0045254	pyruvate dehydrogenase complex
GO:0045257	succinate dehydrogenase complex (ubiquinone)
GO:0045258	plasma membrane succinate dehydrogenase complex (ubiquinone)
GO:0045259	proton-transporting ATP synthase complex
GO:0045260	plasma membrane proton-transporting ATP synthase complex
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045262	plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)
GO:0045263	proton-transporting ATP synthase complex, coupling factor F(o)
GO:0045264	plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)
GO:0045265	proton-transporting ATP synthase, stator stalk
GO:0045266	plasma membrane proton-transporting ATP synthase, stator stalk
GO:0045267	proton-transporting ATP synthase, catalytic core
GO:0045268	plasma membrane proton-transporting ATP synthase, catalytic core
GO:0045269	proton-transporting ATP synthase, central stalk
GO:0045270	plasma membrane proton-transporting ATP synthase, central stalk
GO:0045271	respiratory chain complex I
GO:0045272	plasma membrane respiratory chain complex I
GO:0045273	respiratory chain complex II
GO:0045274	plasma membrane respiratory chain complex II
GO:0045275	respiratory chain complex III
GO:0045276	plasma membrane respiratory chain complex III
GO:0045277	respiratory chain complex IV
GO:0045278	plasma membrane respiratory chain complex IV
GO:0045281	succinate dehydrogenase complex
GO:0045282	plasma membrane succinate dehydrogenase complex
GO:0045283	fumarate reductase complex
GO:0045284	plasma membrane fumarate reductase complex
GO:0045293	mRNA editing complex
GO:0045298	tubulin complex
GO:0045320	chloroplast proton-transporting ATP synthase complex
GO:0045323	interleukin-1 receptor complex
GO:0046536	dosage compensation complex
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain
GO:0046611	lysosomal proton-transporting V-type ATPase complex
GO:0046612	lysosomal proton-transporting V-type ATPase, V1 domain
GO:0046695	SLIK (SAGA-like) complex
GO:0046696	lipopolysaccharide receptor complex
GO:0046798	viral portal complex
GO:0046806	viral scaffold
GO:0046930	pore complex
GO:0048179	activin receptor complex
GO:0048180	activin complex
GO:0048183	activin AB complex
GO:0048188	Set1C/COMPASS complex
GO:0048189	Lid2 complex
GO:0048269	methionine adenosyltransferase complex
GO:0048476	Holliday junction resolvase complex
GO:0048492	ribulose bisphosphate carboxylase complex
GO:0048493	plasma membrane-derived thylakoid ribulose bisphosphate carboxylase complex
GO:0048494	chromatophore ribulose bisphosphate carboxylase complex
GO:0048500	signal recognition particle
GO:0048501	signal recognition particle, plasma membrane targeting
GO:0052718	tRNA-specific adenosine-34 deaminase complex
GO:0055029	nuclear DNA-directed RNA polymerase complex
GO:0055031	gamma-tubulin large complex, equatorial microtubule organizing center
GO:0055032	gamma-tubulin large complex, spindle pole body
GO:0055033	gamma-tubulin large complex, interphase microtubule organizing center
GO:0055051	ATP-binding cassette (ABC) transporter complex, integrated substrate binding
GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing
GO:0055087	Ski complex
GO:0060987	lipid tube
GO:0061494	gamma-tubulin large complex, mitotic spindle pole body
GO:0061495	gamma-tubulin small complex, mitotic spindle pole body
GO:0061574	ASAP complex
GO:0061576	acyl-CoA ceramide synthase complex
GO:0061617	MICOS complex
GO:0061671	Cbp3p-Cbp6 complex
GO:0061672	glutathione hydrolase complex
GO:0061694	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex
GO:0061695	transferase complex, transferring phosphorus-containing groups
GO:0061696	pituitary gonadotropin complex
GO:0061700	GATOR2 complex
GO:0061702	inflammasome complex
GO:0061703	pyroptosome complex
GO:0061742	chaperone-mediated autophagy translocation complex
GO:0061773	eNoSc complex
GO:0061779	Tapasin-ERp57 complex
GO:0061793	chromatin lock complex
GO:0061801	laminin-5B complex
GO:0061814	condensin I complex
GO:0061828	apical tubulobulbar complex
GO:0061829	basal tubulobulbar complex
GO:0061838	CENP-T-W-S-X complex
GO:0061841	high-affinity iron exporter complex
GO:0061852	retrograte transporter complex, Golgi to ER
GO:0061927	TOC-TIC supercomplex I
GO:0061957	NVT complex
GO:0061993	calcium:proton antiporter complex
GO:0062011	mitochondrial respiratory chain complex IV pre-assembly complex
GO:0062048	lymphotoxin complex
GO:0062049	protein phosphatase inhibitor complex
GO:0062051	lipopolysaccharide transport system
GO:0062071	Pi Mi complex
GO:0062073	histone mRNA stem-loop binding complex
GO:0062077	phenylacetyl-CoA 1,2-epoxidase complex
GO:0062079	ATG2-ATG18 complex
GO:0062091	Ycf2/FtsHi complex
GO:0062092	Yae1-Lto1 complex
GO:0062119	LinE complex
GO:0062128	MutSgamma complex
GO:0062136	low-density lipoprotein receptor complex
GO:0062137	cargo receptor complex
GO:0062141	nuclear exosome targeting complex
GO:0062151	catalase complex
GO:0062155	curli secretion complex
GO:0062157	mitochondrial ATP-gated potassium channel complex
GO:0062167	complement component C1q complex
GO:0062238	Smp focus
GO:0070014	sucrase-isomaltase complex
GO:0070017	alphav-beta3 integrin-thrombospondin complex
GO:0070021	transforming growth factor beta ligand-receptor complex
GO:0070023	interleukin-12-interleukin-12 receptor complex
GO:0070024	CD19-Vav-PIK3R1 complex
GO:0070029	alphav-beta3 integrin-osteopontin complex
GO:0070030	alphav-beta1 integrin-osteopontin complex
GO:0070031	alphav-beta5 integrin-osteopontin complex
GO:0070032	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex
GO:0070033	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex
GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex
GO:0070045	synaptobrevin 2-SNAP-25-syntaxin-2 complex
GO:0070046	synaptobrevin 2-SNAP-25-syntaxin-3 complex
GO:0070047	synaptobrevin 2-SNAP-25-syntaxin-4 complex
GO:0070048	endobrevin-SNAP-25-syntaxin-1a complex
GO:0070049	endobrevin-SNAP-25-syntaxin-2 complex
GO:0070065	cellubrevin-VAMP4-syntaxin-16 complex
GO:0070066	cellubrevin-VAMP4-endobrevin-syntaxin-6 complex
GO:0070067	syntaxin-6-syntaxin-16-Vti1a complex
GO:0070068	VAMP4-syntaxin-6-syntaxin-16-Vti1a complex
GO:0070069	cytochrome complex
GO:0070110	ciliary neurotrophic factor receptor complex
GO:0070176	DRM complex
GO:0070187	shelterin complex
GO:0070195	growth hormone receptor complex
GO:0070209	ASTRA complex
GO:0070210	Rpd3L-Expanded complex
GO:0070211	Snt2C complex
GO:0070214	CSK-GAP-A.p62 complex
GO:0070264	transcription factor TFIIIE complex
GO:0070274	RES complex
GO:0070288	ferritin complex
GO:0070289	extracellular ferritin complex
GO:0070310	ATR-ATRIP complex
GO:0070311	nucleosomal methylation activator complex
GO:0070312	RAD52-ERCC4-ERCC1 complex
GO:0070313	RGS6-DNMT1-DMAP1 complex
GO:0070331	CD20-Lck-Fyn complex
GO:0070332	CD20-Lck-Lyn-Fyn complex
GO:0070333	alpha6-beta4 integrin-Shc-Grb2 complex
GO:0070334	alpha6-beta4 integrin-laminin 5 complex
GO:0070353	GATA1-TAL1-TCF3-Lmo2 complex
GO:0070354	GATA2-TAL1-TCF3-Lmo2 complex
GO:0070355	synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a-complexin II complex
GO:0070356	synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a complex
GO:0070357	alphav-beta3 integrin-CD47 complex
GO:0070369	beta-catenin-TCF7L2 complex
GO:0070385	egasyn-beta-glucuronidase complex
GO:0070386	procollagen-proline 4-dioxygenase complex, alpha(I) type
GO:0070387	procollagen-proline 4-dioxygenase complex, alpha(II) type
GO:0070388	procollagen-proline 4-dioxygenase complex, alpha(III) type
GO:0070390	transcription export complex 2
GO:0070418	DNA-dependent protein kinase complex
GO:0070419	nonhomologous end joining complex
GO:0070420	Ku-DNA ligase complex
GO:0070421	DNA ligase III-XRCC1 complex
GO:0070422	G-protein beta/gamma-Raf-1 complex
GO:0070435	Shc-EGFR complex
GO:0070436	Grb2-EGFR complex
GO:0070437	Grb2-Shc complex
GO:0070439	Mad-Max-mSin3A complex
GO:0070440	Mad-Max-mSin3B complex
GO:0070441	G-protein beta/gamma-Btk complex
GO:0070442	integrin alphaIIb-beta3 complex
GO:0070443	Mad-Max complex
GO:0070449	elongin complex
GO:0070450	interleukin4-interleukin-4 receptor complex
GO:0070461	SAGA-type complex
GO:0070464	alphav-beta3 integrin-collagen alpha3(VI) complex
GO:0070465	alpha1-beta1 integrin-alpha3(VI) complex
GO:0070466	alpha2-beta1 integrin-alpha3(VI) complex
GO:0070467	RC-1 DNA recombination complex
GO:0070514	SRF-myogenin-E12 complex
GO:0070515	alphaIIb-beta3 integrin-talin complex
GO:0070516	CAK-ERCC2 complex
GO:0070517	DNA replication factor C core complex
GO:0070518	alpha4-beta1 integrin-CD53 complex
GO:0070519	alpha4-beta1 integrin-CD63 complex
GO:0070520	alpha4-beta1 integrin-CD81 complex
GO:0070521	alpha4-beta1 integrin-CD82 complex
