MGI:101922	Tnc	MGI:2148541	Tnc<tm1Fas>	MGI:2148541	Tnc<tm1Fas>	involves: 129/Sv # 129S2/SvPas 	no obvious phenotype: no defect detected	33828	TAS		
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	heart/cardiovascular system: dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	respiratory system: dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	kidney/renal system: dysmorphology	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	other aberrant phenotype	35802	TAS
MGI:98297	Shh	MGI:1857796	Shh<tm1Chg>	MGI:1857796	Shh<tm1Chg>	involves: 129X1/SvJ # 129S1/Sv	skeletal: axial defects	35802	TAS
MGI:1861984	Sic	MGI:1862005	Sic	MGI:2153476	Sic<+>	involves: BALB/c # C3H  	growth/weight abnormality: postnatal	63816	TAS
MGI:101924	Slc12a2	MGI:1857838	Slc12a2<sy-ns>	MGI:1857838	Slc12a2<sy-ns>	involves: C57BL/6 # MK/ReJ	ears: dysmorphology	56631	TAS
MGI:101924	Slc12a2	MGI:1857838	Slc12a2<sy-ns>	MGI:1857838	Slc12a2<sy-ns>	involves: C57BL/6 # MK/ReJ	ears: auditory defects/deafness	56631	TAS
MGI:101924	Slc12a2	MGI:1858129	Slc12a2<sy-ns>	MGI:1858129	Slc12a2<sy-ns>	involves: C57BL/6 # MK/ReJ	ears: dysmorphology	56631	TAS
MGI:101924	Slc12a2	MGI:1858129	Slc12a2<sy-ns>	MGI:1858129	Slc12a2<sy-ns>	involves: C57BL/6 # MK/ReJ	ears: auditory defects/deafness	56631	TAS
MGI:101924	Slc12a2	MGI:1935225	Slc12a2<tm1Dlp>	MGI:1935225	Slc12a2<tm1Dlp>	involves: 129S/SvEv # C57BL/6	growth/weight abnormality: postnatal	55514	TAS
MGI:101924	Slc12a2	MGI:1935225	Slc12a2<tm1Dlp>	MGI:1935225	Slc12a2<tm1Dlp>	involves: 129S/SvEv # C57BL/6	neurological/behavioral: motor capabilities/coordination/movement anomalies	55514	TAS
MGI:101924	Slc12a2	MGI:1935225	Slc12a2<tm1Dlp>	MGI:1935225	Slc12a2<tm1Dlp>	involves: 129S/SvEv # C57BL/6	musculature: physiological defects	55514	TAS
MGI:101924	Slc12a2	MGI:1935225	Slc12a2<tm1Dlp>	MGI:1935225	Slc12a2<tm1Dlp>	involves: 129S/SvEv # C57BL/6	ears: auditory defects/deafness	55514	TAS
MGI:101924	Slc12a2	MGI:1935225	Slc12a2<tm1Dlp>	MGI:1935225	Slc12a2<tm1Dlp>	involves: 129S/SvEv # C57BL/6	ears: dysmorphology	55514	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	survival: postnatal lethality	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	growth/weight abnormality: postnatal	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	neurological/behavioral: motor capabilities/coordination/movement anomalies	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	digestive system: dysmorphology	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	digestive system: functional anomalies	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	heart/cardiovascular system: blood pressure anomalies	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	ears: auditory defects/deafness	57651	TAS
MGI:101924	Slc12a2	MGI:1935144	Slc12a2<tm1Ges>	MGI:1935144	Slc12a2<tm1Ges>	Not Specified	digestive system: functional anomalies	64324	TAS
MGI:104665	Soat1	MGI:1856648	Soat1<ald>	MGI:1856648	Soat1<ald>	AKR/O	metabolism: abnormal lipid homeostasis	12157	TAS
MGI:104665	Soat1	MGI:1857978	Soat1<tm1Far>	MGI:1857978	Soat1<tm1Far>	involves: 129S4/SvJae # C57BL/6	endocrine glands: dysmorphology	37049	TAS
MGI:104665	Soat1	MGI:1857978	Soat1<tm1Far>	MGI:1857978	Soat1<tm1Far>	involves: 129S4/SvJae # C57BL/6	metabolism: abnormal lipid homeostasis	37049	TAS
MGI:104665	Soat1	MGI:1857978	Soat1<tm1Far>	MGI:1857978	Soat1<tm1Far>	involves: 129S4/SvJae # C57BL/6	skin: texture/condition anomalies	61147	TAS
MGI:104665	Soat1	MGI:1857978	Soat1<tm1Far>	MGI:1857978	Soat1<tm1Far>	involves: 129S4/SvJae # C57BL/6	heart/cardiovascular system: dysmorphology	61147	TAS
MGI:104665	Soat1	MGI:1934032	Soat1<tm1Ishi>	MGI:1934032	Soat1<tm1Ishi>	involves: 129S7/SvEvBrd # C57BL/6	eye: dysmorphology	63468	TAS
MGI:104665	Soat1	MGI:1934032	Soat1<tm1Ishi>	MGI:1934032	Soat1<tm1Ishi>	involves: 129S7/SvEvBrd # C57BL/6	metabolism: abnormal lipid homeostasis	63468	TAS
MGI:893578	Srb1	MGI:1928989	Srb1<tm1Dhu>	MGI:1928989	Srb1<tm1Dhu>	involves: 129S4/SvJae # BALB/cByJ	metabolism: abnormal lipid homeostasis	47349	TAS
MGI:893578	Srb1	MGI:1888384	Srb1<tm1Kri>	MGI:1888384	Srb1<tm1Kri>	Involves: 129S2/SvPas # C57BL/6	metabolism: abnormal lipid homeostasis	44187	TAS
MGI:893578	Srb1	MGI:1888384	Srb1<tm1Kri>	MGI:2154177	Srb1<+>	Involves: 129S2/SvPas # C57BL/6	metabolism: abnormal lipid homeostasis	44187	TAS
MGI:98397	Src	MGI:1857247	Src<tm1Sor>	MGI:1857247	Src<tm1Sor>	either: (129S7/SvEvBrd-Src<tm1Sor>) # (involves: 129S7/SvEvBrd # C57BL/6J)	survival: postnatal lethality	67040	TAS
MGI:98397	Src	MGI:1857247	Src<tm1Sor>	MGI:1857247	Src<tm1Sor>	either: (129S7/SvEvBrd-Src<tm1Sor>) # (involves: 129S7/SvEvBrd # C57BL/6J)	growth/weight abnormality: postnatal	67040	TAS
MGI:98397	Src	MGI:1857247	Src<tm1Sor>	MGI:1857247	Src<tm1Sor>	either: (129S7/SvEvBrd-Src<tm1Sor>) # (involves: 129S7/SvEvBrd # C57BL/6J)	teeth: tooth dysmorphology	67040	TAS
MGI:98397	Src	MGI:1857247	Src<tm1Sor>	MGI:1857247	Src<tm1Sor>	either: (129S7/SvEvBrd-Src<tm1Sor>) # (involves: 129S7/SvEvBrd # C57BL/6J)	skeletal: osteogenesis/developmental anomalies	67040	TAS
MGI:103038	Stat3	MGI:1926814	Stat3<tm1Aki>	MGI:1926814	Stat3<tm1Aki>	involves: 129P2/OlaHsd	survival: embryonic lethality	65302	TAS
MGI:103038	Stat3	MGI:1926814	Stat3<tm1Aki>	MGI:1926814	Stat3<tm1Aki>	involves: 129P2/OlaHsd	embryogenesis: developmental patterning abnormalities	65302	TAS
MGI:103038	Stat3	MGI:1926816	Stat3<tm2Aki>	MGI:1926816	Stat3<tm2Aki>	involves: 129P2/OlaHsd	no obvious phenotype: no defect detected	50443	TAS
MGI:1861997	Strg	MGI:1862024	Strg	MGI:2154207	Strg<+>	involves: BALB/c # C3HeN 	coat: hair texture defects	63816	TAS
MGI:1861997	Strg	MGI:1862024	Strg	MGI:2154207	Strg<+>	involves: BALB/c # C3HeN 	coat: color anomalies	63816	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	survival: postnatal lethality	208	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	extremities: digit dysmorphology	208	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	skeletal: osteogenesis/developmental anomalies	12945	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	skeletal: axial defects	12945	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	neurological/behavioral: motor capabilities/coordination/movement anomalies	208	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	ears: auditory defects/deafness	13002	TAS
MGI:98457	sy	MGI:1856182	sy	MGI:1856182	sy	Not Specified	ears: dysmorphology	13002	TAS
MGI:98472	T	MGI:1862032	T<39H>	MGI:1857758	T<+>	involves: BALB/c # C3HeN 	extremities: tail dysmorphology	63816	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	survival: embryonic lethality	23061	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	growth/weight abnormality: embryonic	23061	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	other aberrant phenotype	23061	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	heart/cardiovascular system: dysmorphology	23061	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	skin: pigmentation anomalies	23061	TAS
MGI:98480	Tal1	MGI:1857254	Tal1<tm1Sho>	MGI:1857254	Tal1<tm1Sho>	includes: 129S4/SvJae	heart/cardiovascular system: other functional anomalies	23061	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	survival: embryonic lethality	27458	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	growth/weight abnormality: embryonic	27458	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	skin: pigmentation anomalies	27458	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	skin: texture/condition anomalies	27458	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	heart/cardiovascular system: dysmorphology	35103	TAS
MGI:98480	Tal1	MGI:1857566	Tal1<tm1Wehi>	MGI:1857566	Tal1<tm1Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	embryogenesis: extraembryonic tissue dysmorphology	27458	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	survival: embryonic lethality	58825	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	growth/weight abnormality: embryonic	58825	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	skin: pigmentation anomalies	58825	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	skin: texture/condition anomalies	58825	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	heart/cardiovascular system: dysmorphology	58825	TAS
MGI:98480	Tal1	MGI:1858004	Tal1<tm2Wehi>	MGI:1858004	Tal1<tm2Wehi>	includes: 129S1/Sv-p<+> Tyr-c<+> Kitl<+> # C57BL/6	embryogenesis: extraembryonic tissue dysmorphology	58825	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	survival: perinatal lethality	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	extremities: tail dysmorphology	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	skeletal: axial defects	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	neurological/behavioral: motor capabilities/coordination/movement anomalies	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	skin: texture/condition anomalies	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	skeletal: craniofacial defects	37117	TAS
MGI:104664	Tcf15	MGI:1929775	Tcf15<tm1Eno>	MGI:1929775	Tcf15<tm1Eno>	includes: 129S7/SvEvBrd-Hprt<+>	musculature: muscle dysmorphology	37117	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	survival: perinatal lethality	64068	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	respiratory system: respiratory distress or failure/functional anomalies	64068	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	heart/cardiovascular system: other functional anomalies	64068	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	respiratory system: dysmorphology	64068	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	kidney/renal system: dysmorphology	64068	TAS
MGI:1202715	Tcf21	MGI:1888738	Tcf21<tm1Eno>	MGI:1888738	Tcf21<tm1Eno>	includes: Black Swiss	immune system: other dysmorphology	64068	TAS
MGI:1202715	Tcf21	MGI:2148207	Tcf21<tm1Jrt>	MGI:2148207	Tcf21<tm1Jrt>	includes: 129S1/Sv # 129X1/SvJ 	survival: perinatal lethality	55785	TAS
MGI:1202715	Tcf21	MGI:2148207	Tcf21<tm1Jrt>	MGI:2148207	Tcf21<tm1Jrt>	includes: 129S1/Sv # 129X1/SvJ 	respiratory system: respiratory distress or failure/functional anomalies	55785	TAS
MGI:1202715	Tcf21	MGI:2148207	Tcf21<tm1Jrt>	MGI:2148207	Tcf21<tm1Jrt>	includes: 129S1/Sv # 129X1/SvJ 	kidney/renal system: dysmorphology	55785	TAS
MGI:1202715	Tcf21	MGI:2148207	Tcf21<tm1Jrt>	MGI:2148207	Tcf21<tm1Jrt>	includes: 129S1/Sv # 129X1/SvJ 	respiratory system: dysmorphology	55785	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	survival: perinatal lethality	64068	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	respiratory system: respiratory distress or failure/functional anomalies	64068	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	heart/cardiovascular system: other functional anomalies	64068	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	respiratory system: dysmorphology	64068	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	kidney/renal system: dysmorphology	64068	TAS
MGI:1202715	Tcf21	MGI:2148205	Tcf21<tm2Eno>	MGI:2148205	Tcf21<tm2Eno>	includes: Black Swiss	immune system: other dysmorphology	64068	TAS
MGI:98507	Tcf7	MGI:1926298	Tcf7<tm1Cle>	MGI:1926298	Tcf7<tm1Cle>	involves: 129P2/OlaHsd	immune system: other dysmorphology	23255	TAS
MGI:98507	Tcf7	MGI:1926299	Tcf7<tm2Cle>	MGI:1926299	Tcf7<tm2Cle>	involves: 129P2/OlaHsd	immune system: other dysmorphology	23255	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	survival: postnatal lethality	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	growth/weight abnormality: postnatal	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	neurological/behavioral: motor capabilities/coordination/movement anomalies	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	extremities: limb dysmorphology	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	extremities: tail dysmorphology	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	teeth: tooth dysmorphology	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:1856973	Tcirg1<oc>	B6C3Fe-a/a-Tcirg1<oc/+>	skeletal: osteogenesis/developmental anomalies	61295	TAS
MGI:1350931	Tcirg1	MGI:1856973	Tcirg1<oc>	MGI:2154317	Tcirg1<+>	B6C3Fe-a/a-Tcirg1<oc/+>	no obvious phenotype: no defect detected	61295	TAS
MGI:1350931	Tcirg1	MGI:1857950	Tcirg1<tm1Ypl>	MGI:1857950	Tcirg1<tm1Ypl>	includes: 129S4/SvJae # C57BL/6J	survival: postnatal lethality	58795	TAS
MGI:1350931	Tcirg1	MGI:1857950	Tcirg1<tm1Ypl>	MGI:1857950	Tcirg1<tm1Ypl>	includes: 129S4/SvJae # C57BL/6J	growth/weight abnormality: postnatal	58795	TAS
MGI:1350931	Tcirg1	MGI:1857950	Tcirg1<tm1Ypl>	MGI:1857950	Tcirg1<tm1Ypl>	includes: 129S4/SvJae # C57BL/6J	extremities: limb dysmorphology	58795	TAS
MGI:1350931	Tcirg1	MGI:1857950	Tcirg1<tm1Ypl>	MGI:1857950	Tcirg1<tm1Ypl>	includes: 129S4/SvJae # C57BL/6J	teeth: tooth dysmorphology	58795	TAS
MGI:1350931	Tcirg1	MGI:1857950	Tcirg1<tm1Ypl>	MGI:1857950	Tcirg1<tm1Ypl>	includes: 129S4/SvJae # C57BL/6J	skeletal: osteogenesis/developmental anomalies	58795	TAS
MGI:98533	Tcm	MGI:1861626	Tcm	MGI:1861626	Tcm	includes: 101 # C3H	eye: dysmorphology	52633	TAS
MGI:98533	Tcm	MGI:1861626	Tcm	MGI:1861626	Tcm	includes: 101 # C3H	eye: corneal or lens defect	52633	TAS
MGI:98533	Tcm	MGI:1861626	Tcm	MGI:2154328	Tcm<+>	includes: 101 # C3H	eye: dysmorphology	52633	TAS
MGI:98533	Tcm	MGI:1861626	Tcm	MGI:2154328	Tcm<+>	includes: 101 # C3H	eye: corneal or lens defect	52633	TAS
MGI:109558	Terc	MGI:1857930	Terc<tm1Rdp>	MGI:1857930	Terc<tm1Rdp>	involves: 129/Sv # C57BL/6J # SJL	no obvious phenotype: no defect detected	43517	TAS
MGI:1202709	Tert	MGI:1859741	Tert<tm1Fish>	MGI:1859741	Tert<tm1Fish>	includes: 129S7/SvEvBrd # C57BL/6	no obvious phenotype: no defect detected	59898	TAS
MGI:98724	Tgfa	MGI:1856577	Tgfa<tm1Ard>	MGI:1856577	Tgfa<tm1Ard>	includes: 129P2/OlaHsd # C57BL/6	coat: hair texture defects	4606	TAS
MGI:98724	Tgfa	MGI:1856577	Tgfa<tm1Ard>	MGI:1856577	Tgfa<tm1Ard>	includes: 129P2/OlaHsd # C57BL/6	vibrissae: shape/orientation defects	4606	TAS
MGI:98724	Tgfa	MGI:1856577	Tgfa<tm1Ard>	MGI:1856577	Tgfa<tm1Ard>	includes: 129P2/OlaHsd # C57BL/6	coat: hair follicle structure/orientation anomalies	4606	TAS
MGI:98724	Tgfa	MGI:1856577	Tgfa<tm1Ard>	MGI:1856577	Tgfa<tm1Ard>	includes: 129P2/OlaHsd # C57BL/6	eye: dysmorphology	4606	TAS
MGI:98724	Tgfa	MGI:1856577	Tgfa<tm1Ard>	MGI:1856577	Tgfa<tm1Ard>	includes: 129P2/OlaHsd # C57BL/6	other aberrant phenotype	4606	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	coat: hair texture defects	4605	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	vibrissae: shape/orientation defects	4605	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	coat: hair follicle structure/orientation anomalies	4605	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	eye: dysmorphology	4605	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	eye: corneal or lens defect	4605	TAS
MGI:98724	Tgfa	MGI:1933208	Tgfa<tm1Unc>	MGI:1933208	Tgfa<tm1Unc>	includes: 129P2/OlaHsd # C57BL/6J	other aberrant phenotype	4605	TAS
MGI:98724	Tgfa	MGI:1856268	Tgfa<wa1-5J>	MGI:1856268	Tgfa<wa1-5J>	BXD-32/Ty-Tgfa<wa1-5J>	coat: hair growth defects	64099	TAS
MGI:98724	Tgfa	MGI:1856268	Tgfa<wa1-5J>	MGI:1856268	Tgfa<wa1-5J>	BXD-32/Ty-Tgfa<wa1-5J>	eye: dysmorphology	64099	TAS
MGI:98724	Tgfa	MGI:1856268	Tgfa<wa1-5J>	MGI:1856268	Tgfa<wa1-5J>	BXD-32/Ty-Tgfa<wa1-5J>	growth/weight abnormality: postnatal	64099	TAS
MGI:98724	Tgfa	MGI:1856388	Tgfa<wa1>	MGI:1856388	Tgfa<wa1>	Not Specified	coat: hair texture defects	13034	TAS
MGI:98724	Tgfa	MGI:1856388	Tgfa<wa1>	MGI:1856388	Tgfa<wa1>	Not Specified	vibrissae: shape/orientation defects	13034	TAS
MGI:98725	Tgfb1	MGI:1857671	Tgfb1<tm1N>	MGI:1857671	Tgfb1<tm1N>	includes: 129S/SvEv	heart/cardiovascular system: other functional anomalies	50848	TAS
MGI:98725	Tgfb1	MGI:1857671	Tgfb1<tm1N>	MGI:1857671	Tgfb1<tm1N>	includes: 129S/SvEv	digestive system: dysmorphology	50848	TAS
MGI:1927233	Tl	MGI:1932330	Tl	MGI:1932330	Tl	AKR/J	survival: embryonic lethality	68218	TAS
MGI:1927233	Tl	MGI:1932330	Tl	MGI:2154410	Tl<+>	AKR/J	skeletal: axial defects	68218	TAS
MGI:1927233	Tl	MGI:1932330	Tl	MGI:2154410	Tl<+>	AKR/J	skeletal: extremities defects	68218	TAS
MGI:1927233	Tl	MGI:1932330	Tl	MGI:2154410	Tl<+>	AKR/J	extremities: tail dysmorphology	68218	TAS
MGI:1891332	Tlc	MGI:1913078	Tlc	MGI:2154414	Tlc<+>	C3HeB/FeJ	ears: dysmorphology	64900	TAS
MGI:1891332	Tlc	MGI:1913078	Tlc	MGI:2154414	Tlc<+>	C3HeB/FeJ	neurological/behavioral: motor capabilities/coordination/movement anomalies	64900	TAS
MGI:1861982	Todo	MGI:1862003	Todo	MGI:2154420	Todo<+>	involves: BALB/c # C3HeN 	neurological/behavioral: motor capabilities/coordination/movement anomalies	63816	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:2154425	Trfr<+>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	heart/cardiovascular system: dysmorphology	54107	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:2154425	Trfr<+>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	metabolism: other metabolic defect	54107	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:1859944	Trfr<tm1Nca>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	survival: embryonic lethality	54107	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:1859944	Trfr<tm1Nca>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	hematology: abnormal red blood cell count/anemia	54107	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:1859944	Trfr<tm1Nca>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	hematology: hematopoietic anomalies	54107	TAS
MGI:98822	Trfr	MGI:1859944	Trfr<tm1Nca>	MGI:1859944	Trfr<tm1Nca>	either: (129S4/SvJae # C57BL/6) # (129S4/SvJae # 129S6/SvEvTac)	central nervous system: neural tube defects	54107	TAS
MGI:98834	Trp53	MGI:1857590	Trp53<tm1Brd>	MGI:1857590	Trp53<tm1Brd>	includes: 129S7/SvEvBrd-Hprt<+> # C57BL/6	tumors: increased incidence	1999	TAS
MGI:98834	Trp53	MGI:1857590	Trp53<tm1Brd>	MGI:1857589	Trp53<+>	includes: 129S7/SvEvBrd-Hprt<+> # C57BL/6	tumors: increased incidence	1999	TAS
MGI:98834	Trp53	MGI:1926340	Trp53<tm1Sia>	MGI:1926340	Trp53<tm1Sia>	involves: C57BL/6 # CBA	tumors: increased incidence	36762	TAS
