MGI ID of Gene	Gene Symbol	MGI ID of Allele 1	Allele 1 Symbol	MGI ID of Allele 2	Allele 2 Symbol	Strain	PhenoSlim term	J: (without the J:)	Qualifying Evidence Code	Notes (optional)				survival: embryonic lethality
MGI:88181	Bmp5	MGI:1858106	Bmp5<se-2OZb>	MGI:1858106	Bmp5<se-2OZb>	involves: C3H/Rl x 101/Rl	skeletal: axial defects	3046	IMP	
MGI:88269	Car2	MGI:2135646	Car2<n>	MGI:2135646	Car2<n>	involves: C57BL/6J # DBA/2J	growth/weight abnormality: postnatal	19268	IMP	strain note
MGI:88269	Car2	MGI:2135646	Car2<n>	MGI:2135646	Car2<n>	involves: C57BL/6J # DBA/2J	kidney/renal system: functional anomalies	19268	IMP	
MGI:88269	Car2	MGI:2135646	Car2<n>	MGI:2135646	Car2<n>	involves: C57BL/6J # DBA/2J	skeletal: no defect detected	19268	IMP	
MGI:88272	Cat2	MGI:1856492	Cat2<no2>	MGI:2158241	Cat2<+>	DBA/2	eye: corneal or lens defect	16569	IMP	
MGI:88272	Cat2	MGI:1855994	Cat2<ns>	MGI:1855994	Cat2<ns>	involves: 101 x C3H	eye: corneal or lens defect	1598	IMP	
MGI:88272	Cat2	MGI:1855994	Cat2<ns>	MGI:1855994	Cat2<ns>	involves: 101 x C3H	eye: dysmorphology	1598	IMP	
MGI:88272	Cat2	MGI:1855994	Cat2<ns>	MGI:2158241	Cat2<+>	involves: 101 x C3H	eye: corneal or lens defect	1598	IMP	
MGI:88272	Cat2	MGI:1855996	Cat2<ro>	MGI:1855996	Cat2<ro>	involves: 101 x C3H	eye: corneal or lens defect	24033	IMP	
MGI:88272	Cat2	MGI:1855996	Cat2<ro>	MGI:2158241	Cat2<+>	involves: 101 x C3H	eye: corneal or lens defect	24033	IMP	
MGI:88272	Cat2	MGI:1856493	Cat2<tol>	MGI:2158241	Cat2<+>	involves: 101 x C3H	eye: corneal or lens defect	23988	IMP	
MGI:88272	Cat2	MGI:1856493	Cat2<tol>	MGI:2158241	Cat2<+>	involves: 101 x C3H	eye: dysmorphology	23988	IMP	
MGI:88273	Cat3	MGI:1855998	Cat3<vl>	MGI:1855998	Cat3<vl>	involves: 101 x C3H	eye: corneal or lens defect	6686	IMP	
MGI:88273	Cat3	MGI:1855998	Cat3<vl>	MGI:1855998	Cat3<vl>	involves: 101 x C3H	eye: dysmorphology	6686	IMP	
MGI:88273	Cat3	MGI:1855998	Cat3<vl>	MGI:1855998	Cat3<vl>	involves: 101 x C3H	survival: embryonic lethality	6686	IMP	
MGI:88273	Cat3	MGI:1855998	Cat3<vl>	MGI:2158242	Cat3<+>	involves: 101 x C3H	eye: corneal or lens defect	6686	IMP
MGI:88273	Cat3	MGI:1855998	Cat3<vl>	MGI:2158242	Cat3<+>	involves: 101 x C3H	eye: dysmorphology	6686	IMP
MGI:88273	Cat3	MGI:1855997	Cat3<vao>	MGI:1855997	Cat3<vao>	involves: 101 x C3H	eye: dysmorphology	9528	IMP
MGI:88273	Cat3	MGI:1855997	Cat3<vao>	MGI:1855997	Cat3<vao>	involves: 101 x C3H	eye: corneal or lens defect	9528	IMP
MGI:88273	Cat3	MGI:1855997	Cat3<vao>	MGI:2158242	Cat3<+>	involves: 101 x C3H	eye: dysmorphology	9528	IMP
MGI:88273	Cat3	MGI:1855997	Cat3<vao>	MGI:2158242	Cat3<+>	involves: 101 x C3H	eye: corneal or lens defect	9528	IMP
MGI:88040	Cat4	MGI:1856585	Cat4<Apcat1-1>	MGI:1856585	Cat4<Apcat1-1>	involves: 101 x C3H	eye: dysmorphology	6686	IMP
MGI:88040	Cat4	MGI:1856585	Cat4<Apcat1-1>	MGI:2158243	Cat4<+>	involves: 101 x C3H	eye: dysmorphology	6686	IMP
MGI:88040	Cat4	MGI:1856585	Cat4<Apcat1-1>	MGI:2158243	Cat4<+>	involves: 101 x C3H	eye: corneal or lens defect	6686	IMP
MGI:88040	Cat4	MGI:1856586	Cat4<Apcat1-2>	MGI:1856586	Cat4<Apcat1-2>	involves: 101 x C3H	survival: embryonic lethality	6686	IMP
MGI:88040	Cat4	MGI:1856586	Cat4<Apcat1-2>	MGI:2158243	Cat4<+>	involves: 101 x C3H	eye: corneal or lens defect	6686	IMP
MGI:88040	Cat4	MGI:1856586	Cat4<Apcat1-2>	MGI:2158243	Cat4<+>	involves: 101 x C3H	eye: dysmorphology	6686	IMP
MGI:88040	Cat4	MGI:1856587	Cat4<Apcat1-3>	MGI:1856587	Cat4<Apcat1-3>	involves: 101 x C3H	survival: embryonic lethality	1598	IMP
MGI:88040	Cat4	MGI:1856587	Cat4<Apcat1-3>	MGI:1856587	Cat4<+>	involves: 101 x C3H	eye: corneal or lens defect	1598	IMP
MGI:88040	Cat4	MGI:1856587	Cat4<Apcat1-3>	MGI:1856587	Cat4<+>	involves: 101 x C3H	eye: dysmorphology	1598	IMP
MGI:88040	Cat4	MGI:1856588	Cat4<Apcat1-4>	MGI:1856588	Cat4<Apcat1-4>	involves: 101 x C3H	survival: embryonic lethality	1598	IMP
MGI:88040	Cat4	MGI:1856588	Cat4<Apcat1-4>	MGI:2158243	Cat4<+>	involves: 101 x C3H	eye: corneal or lens defect	1598	IMP	
MGI:98786	Cat5	MGI:2137391	Cat5<To2>	MGI:2158244	Cat5<+>	involves: 101 x C3H	eye: corneal or lens defect	21951	IMP	
MGI:107542	Ccw	MGI:1861669	Ccw	MGI:1861669	Ccw	involves: Unpedigreed stock	survival: embryonic lethality	34877	IMP	
MGI:107542	Ccw	MGI:1861669	Ccw	MGI:2158245	Ccw<+>	involves: Unpedigreed stock	eye: corneal or lens defect	34877	IMP	
MGI:107542	Ccw	MGI:1861669	Ccw	MGI:2158245	Ccw<+>	involves: Unpedigreed stock	vibrissae: shape/orientation defects	34877	IMP	
MGI:88319	Cd19	MGI:1931143	Cd19<tm1(Cre)Cgn>	MGI:1931143	Cd19<tm1(Cre)Cgn>	involves: 129P2/OlaHsd	immune system: lymphoid development/ B lymphocyte defects	27463	IMP	
MGI:88319	Cd19	MGI:1931143	Cd19<tm1(Cre)Cgn>	MGI:2158247	Cd19<+>	involves: 129P2/OlaHsd	no obvious phenotype: no defect detected	27463	IMP	
MGI:99217	Cdh11	MGI:1861184	Cdh11<tm1Mta>	MGI:1861184	Cdh11<tm1Mta>	involves: 129S1/Sv # C57BL/6	no obvious phenotype: no defect detected	58409	IMP	
MGI:88355	Cdh2	MGI:1861181	Cdh2<tm1Hyn>	MGI:1861181	Cdh2<tm1Hyn>	involves: 129P2/OlaHsd	survival: embryonic lethality	37888	IMP	
MGI:88355	Cdh2	MGI:1861181	Cdh2<tm1Hyn>	MGI:1861181	Cdh2<tm1Hyn>	involves: 129P2/OlaHsd	growth/weight abnormality: embryonic	37888	IMP	
MGI:88355	Cdh2	MGI:1861181	Cdh2<tm1Hyn>	MGI:1861181	Cdh2<tm1Hyn>	involves: 129P2/OlaHsd	heart/cardiovascular system: dysmorphology	37888	IMP	
MGI:88355	Cdh2	MGI:1861181	Cdh2<tm1Hyn>	MGI:1861181	Cdh2<tm1Hyn>	involves: 129P2/OlaHsd	embryogenesis: embryonic tissue dysmorphology	37888	IMP	
MGI:88355	Cdh2	MGI:1861181	Cdh2<tm1Hyn>	MGI:1861181	Cdh2<tm1Hyn>	involves: 129P2/OlaHsd	embryogenesis: developmental patterning abnormalities	37888	IMP	
MGI:101765	Cdk5	MGI:1861809	Cdk5<tm1Kul>	MGI:1861809	Cdk5<tm1Kul>	involves: 129S4/SvJae # C57BL/6	survival: perinatal lethality	64289	IMP	
MGI:101765	Cdk5	MGI:1861809	Cdk5<tm1Kul>	MGI:1861809	Cdk5<tm1Kul>	involves: 129S4/SvJae # C57BL/6	central nervous system: brain dysmorphology	64289	IMP	pheno note
MGI:101765	Cdk5	MGI:1861809	Cdk5<tm1Kul>	MGI:1861809	Cdk5<tm1Kul>	involves: 129S4/SvJae # C57BL/6	neurological/behavioral: motor capabilities/coordination/movement anomalies	64289	IMP	
MGI:101765	Cdk5	MGI:1861809	Cdk5<tm1Kul>	MGI:1861809	Cdk5<tm1Kul>	involves: 129S4/SvJae # C57BL/6	heart/cardiovascular system: blood circulatory defects	64289	IMP	
MGI:101764	Cdk5r	MGI:1931885	Cdk5r<tm1Lht>	MGI:1931885	Cdk5r<tm1Lht>	129S4/SvJae	central nervous system: brain dysmorphology	38857	IMP	strain & pheno note
MGI:101764	Cdk5r	MGI:1931885	Cdk5r<tm1Lht>	MGI:1931885	Cdk5r<tm1Lht>	involves: 129S4/SvJae # C57BL/6	central nervous system: brain dysmorphology	38857	IMP	strain & pheno note
MGI:104556	Cdkn1a	MGI:1888950	Cdkn1a<tm1Led>	MGI:1888950	Cdkn1a<tm1Led>	involves: 129S6/SvEvTac # NIH Black Swiss	no obvious phenotype: no defect detected	28420	IMP	
MGI:104556	Cdkn1a	MGI:1933751	Cdkn1a<tm1Tyj>	MGI:1933751	Cdkn1a<tm1Tyj>	involves: 129S2/SvPas	no obvious phenotype: no defect detected	68068	IMP	
MGI:104565	Cdkn1b	MGI:1888808	Cdkn1b<tm1Ako>	MGI:1888808	Cdkn1b<tm1Ako>	involves: 129S1/Sv # C57BL/6	growth/weight abnormality: postnatal	33401	IMP	
MGI:104565	Cdkn1b	MGI:1888808	Cdkn1b<tm1Ako>	MGI:1888808	Cdkn1b<tm1Ako>	involves: 129S1/Sv # C57BL/6	immune system: other functional anomaly	33401	IMP	
MGI:104565	Cdkn1b	MGI:1888808	Cdkn1b<tm1Ako>	MGI:1888808	Cdkn1b<tm1Ako>	involves: 129S1/Sv # C57BL/6	endocrine glands: functional anomalies	33401	IMP	
MGI:104565	Cdkn1b	MGI:1888808	Cdkn1b<tm1Ako>	MGI:1888808	Cdkn1b<tm1Ako>	involves: 129S1/Sv # C57BL/6	reproductive system: fertility/fecundity anomalies	33401	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	growth/weight abnormality: postnatal	33402	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	reproductive system: fertility/fecundity anomalies	33402	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	reproductive system: dysmorphology	33402	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	immune system: other functional anomaly	33402	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	endocrine glands: functional anomalies	33402	IMP	
MGI:104565	Cdkn1b	MGI:1888790	Cdkn1b<tm1Kin>	MGI:1888790	Cdkn1b<tm1Kin>	involves: 129P2/OlaHsd # C57BL/6	tumors: increased incidence	33402	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	growth/weight abnormality: postnatal	33400	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	tumors: increased incidence	33400	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	reproductive system: fertility/fecundity anomalies	33400	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	immune system: other functional anomaly	33400	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	endocrine glands: functional anomalies	33400	IMP	
MGI:104565	Cdkn1b	MGI:1857146	Cdkn1b<tm1Mlf>	MGI:1857146	Cdkn1b<tm1Mlf>	Involves: 129S4/SvJaeSor # C57BL/6J	eye: dysmorphology	33400	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # C57BL/6	survival: perinatal lethality	40142	IMP	strain Note
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # C57BL/6	digestive system: dysmorphology	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # C57BL/6	skeletal: craniofacial defects	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # C57BL/6	skeletal: extremities defects	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # C57BL/6	skeletal: osteogenesis/developmental anomalies	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:2158292	Cdkn1c<+>	129S1/Sv # 129X1/SvJ # C57BL/6	no obvious phenotype: no defect detected	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # ICR	survival: perinatal lethality	40142	IMP	strain Note
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # ICR	digestive system: dysmorphology	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # ICR	skeletal: craniofacial defects	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # ICR	skeletal: extremities defects	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:1933757	Cdkn1c<tm1Bbd>	129S1/Sv # 129X1/SvJ # ICR	skeletal: osteogenesis/developmental anomalies	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933757	Cdkn1c<tm1Bbd>	MGI:2158292	Cdkn1c<+>	129S1/Sv # 129X1/SvJ # ICR	no obvious phenotype: no defect detected	40142	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	survival: perinatal lethality	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	survival: postnatal lethality	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	growth/weight abnormality: postnatal	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	respiratory system: respiratory distress or failure/functional anomalies	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	skeletal: craniofacial defects	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	digestive system: dysmorphology	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	skeletal: extremities defects	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	immune system: other dysmorphology	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	endocrine glands: dysmorphology	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:1933758	Cdkn1c<tm1Kat>	involves: 129P2/OlaHsd # C57BL/6	reproductive system: fertility/fecundity anomalies	61190	IMP	
MGI:104564	Cdkn1c	MGI:1933758	Cdkn1c<tm1Kat>	MGI:2158292	Cdkn1c<+>	involves: 129P2/OlaHsd # C57BL/6	no obvious phenotype: no defect detected	61190	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	survival: perinatal lethality	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	survival: embryonic lethality	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	embryogenesis: extraembryonic tissue dysmorphology	40203	IMP	pheno note
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	digestive system: dysmorphology	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	growth/weight abnormality: postnatal	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	skeletal: craniofacial defects	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	respiratory system: respiratory distress or failure/functional anomalies	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	skeletal: osteogenesis/developmental anomalies	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	kidney/renal system: dysmorphology	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	endocrine glands: dysmorphology	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:1861811	Cdkn1c<tm1Sje>	involves: 129S7/SvEvBrd # C57BL/6	eye: corneal or lens defect	40203	IMP	
MGI:104564	Cdkn1c	MGI:1861811	Cdkn1c<tm1Sje>	MGI:2158292	Cdkn1c<+>	involves: 129S7/SvEvBrd # C57BL/6	no obvious phenotype: no defect detected	40203	IMP	
MGI:104738	Cdkn2a	MGI:1926877	Cdkn2a<tm1Cjs>	MGI:1926877	Cdkn2a<tm1Cjs>	involves: 129X1/SvJ # C57BL/6	tumors: increased incidence	44427	IMP	
MGI:104738	Cdkn2a	MGI:1857942	Cdkn2a<tm1Rdp>	MGI:1857942	Cdkn2a<tm1Rdp>	involves: 129X1/SvJ # C57BL/6	tumors: increased incidence	53805	IMP	strain note
MGI:104737	Cdkn2b	MGI:1933760	Cdkn2b<tm1Bbd>	MGI:1933760	Cdkn2b<tm1Bbd>	involves: 129S1/Sv # C57BL/6	tumors: increased incidence	63299	IMP	In conj with
MGI:104737	Cdkn2b	MGI:1933760	Cdkn2b<tm1Bbd>	MGI:1933760	Cdkn2b<tm1Bbd>	involves: 129S1/Sv # C57BL/6	hematology: abnormal red blood cell count/anemia	63299	IMP	
MGI:105388	Cdkn2c	MGI:1933761	Cdkn2c<tm1Bbd>	MGI:1933761	Cdkn2c<tm1Bbd>	involves: 129S1/Sv # C57BL/6	growth/weight abnormality: postnatal	63299	IMP	in conj with 
MGI:105388	Cdkn2c	MGI:1933761	Cdkn2c<tm1Bbd>	MGI:1933761	Cdkn2c<tm1Bbd>	involves: 129S1/Sv # C57BL/6	immune system: other dysmorphology	63299	IMP	
MGI:105388	Cdkn2c	MGI:1933761	Cdkn2c<tm1Bbd>	MGI:1933761	Cdkn2c<tm1Bbd>	involves: 129S1/Sv # C57BL/6	kidney/renal system: dysmorphology	63299	IMP	
MGI:105388	Cdkn2c	MGI:1933761	Cdkn2c<tm1Bbd>	MGI:1933761	Cdkn2c<tm1Bbd>	involves: 129S1/Sv # C57BL/6	tumors: increased incidence	63299	IMP	
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # C57BL/6	growth/weight abnormality: postnatal	50053	IMP	strain note
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # C57BL/6	tumors: increased incidence	50053	IMP	in conj with
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # C57BL/6	immune system: other dysmorphology	50053	IMP	
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # C57BL/6	endocrine glands: dysmorphology	50053	IMP	
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # ICR	growth/weight abnormality: postnatal	50053	IMP	strain note
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # ICR	tumors: increased incidence	50053	IMP	in conj with
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # ICR	immune system: other dysmorphology	50053	IMP	
MGI:105388	Cdkn2c	MGI:1933762	Cdkn2c<tm1Yxi>	MGI:1933762	Cdkn2c<tm1Yx1>	involves: 129S1/Sv # ICR	endocrine glands: dysmorphology	50053	IMP	
MGI:105387	Cdkn2d	MGI:1927668	Cdkn2d<tm1Maro>	MGI:1927668	Cdkn2d<tm1Maro>	involves: 129P2/OlaHsd # C57Bl/6	tumors: no increased incidence	58959	IMP	
MGI:105387	Cdkn2d	MGI:1927668	Cdkn2d<tm1Maro>	MGI:1927668	Cdkn2d<tm1Maro>	involves: 129P2/OlaHsd # C57Bl/6	reproductive system: dysmorphology	58959	IMP	
MGI:88361	Cdx2	MGI:1857928	Cdx2<tm1Fbe>	MGI:1857928	Cdx2<tm1Fbe>	involves: 129S1/Sv # C57BL/6J	survival: embryonic lethality	38772	IMP	
MGI:88361	Cdx2	MGI:1857928	Cdx2<tm1Fbe>	MGI:2158250	Cdx2<+>	involves: 129S1/Sv # C57BL/6J	skeletal: axial defects	38772	IMP	
MGI:88361	Cdx2	MGI:1857928	Cdx2<tm1Fbe>	MGI:2158250	Cdx2<+>	involves: 129S1/Sv # C57BL/6J	growth/weight abnormality: postnatal	38772	IMP	
MGI:88361	Cdx2	MGI:1857928	Cdx2<tm1Fbe>	MGI:2158250	Cdx2<+>	involves: 129S1/Sv # C57BL/6J	extremities: tail dysmorphology	38772	IMP	pheno note
MGI:88361	Cdx2	MGI:1857928	Cdx2<tm1Fbe>	MGI:2158250	Cdx2<+>	involves: 129S1/Sv # C57BL/6J	tumors: increased incidence	38772	IMP	
MGI:88361	Cdx2	MGI:1926374	Cdx2<tm1Mmt>	MGI:1926374	Cdx2<tm1Mmt>	involves: 129X1/SvJ # C57BL/6	survival: embryonic lethality	47050	IMP	
MGI:88361	Cdx2	MGI:1926374	Cdx2<tm1Mmt>	MGI:1926374	Cdx2<+>	involves: 129X1/SvJ # C57BL/6	tumors: increased incidence	47050	IMP	
MGI:88361	Cdx2	MGI:1926374	Cdx2<tm1Mmt>	MGI:1926374	Cdx2<+>	involves: 129X1/SvJ # C57BL/6	skeletal: axial defects	47050	IMP	
MGI:88361	Cdx2	MGI:1926374	Cdx2<tm1Mmt>	MGI:1926374	Cdx2<+>	involves: 129X1/SvJ # C57BL/6	growth/weight abnormality: postnatal	47050	IMP	
MGI:1202065	Chek1	MGI:1928818	Chek1<tm1Mkt>	MGI:1928818	Chek1<tm1Mkt>	involves: 129P2/OlaHsd # C57BL/6J	survival: embryonic lethality	62918	IMP	
MGI:1202065	Chek1	MGI:1926528	Chek1<tm1Sje>	MGI:1926528	Chek1<tm1Sje>	Not Specified	survival: embryonic lethality	62919	IMP	
MGI:1202065	Chek1	MGI:1926528	Chek1<tm1Sje>	MGI:2158251	Chek1<+>	Not Specified	no obvious phenotype: no defect detected	62919	IMP	
MGI:107537	Cln3	MGI:1933976	Cln3<tm1Nbm>	MGI:1933976	Cln3<tm1Nbm>	involves: 129S6/SvEvTac # NIH Black Swiss 	central nervous system: brain dysmorphology	58230	IMP	pheno note
MGI:88424	Cm	MGI:1861106	Cm	MGI:1861106	Cm	involves: 101/H # C3H/HeH  	survival: embryonic lethality	13451	IMP	
MGI:88424	Cm	MGI:1861106	Cm	MGI:2158252	Cm<+>	involves: 101/H # C3H/HeH  	neurological/behavioral: motor capabilities/coordination/movement anomalies	13451	IMP	
MGI:88424	Cm	MGI:1861106	Cm	MGI:2158252	Cm<+>	involves: 101/H # C3H/HeH  	eye: dysmorphology	13451	IMP	
MGI:109563	Cmkar4	MGI:1934166	Cmkar4<tm1Qma>	MGI:1934166	Cmkar4<tm1Qma>	involves: 129X1/SvJ	growth/weight abnormality: postnatal	49070	IMP	
MGI:109563	Cmkar4	MGI:1934166	Cmkar4<tm1Qma>	MGI:1934166	Cmkar4<tm1Qma>	involves: 129X1/SvJ	survival: perinatal lethality	49070	IMP	
MGI:109563	Cmkar4	MGI:1934166	Cmkar4<tm1Qma>	MGI:1934166	Cmkar4<tm1Qma>	involves: 129X1/SvJ	respiratory system: dysmorphology	49070	IMP	
MGI:109563	Cmkar4	MGI:1934166	Cmkar4<tm1Qma>	MGI:1934166	Cmkar4<tm1Qma>	involves: 129X1/SvJ	kidney/renal system: functional anomalies	49070	IMP	
MGI:109563	Cmkar4	MGI:1934166	Cmkar4<tm1Qma>	MGI:1934166	Cmkar4<tm1Qma>	involves: 129X1/SvJ	immune system: lymphoid development/ B lymphocyte defects	49070	IMP	
