MGI:1345638	Pbw1	2154308	Pbw1<C57BL/6J>	2154308	Pbw1<C57BL/6J>	(C57BL/6J x DBA/2J)F2	neurological/behavioral: no defect detected	54502	TAS	pentobarbital withdrawal
MGI:1345638	Pbw1					complex	neurological/behavioral: no defect detected	54502	TAS	pentobarbital withdrawal
MGI:1345638	Pbw1					complex	neurological/behavioral: no defect detected	54502	TAS	pentobarbital withdrawal
MGI:2151854	Pbwm	2154311	Pbwm<DBA/2J>	2154311	Pbwm<DBA/2J>	(C57BL/6J x DBA/2J)F2	neurological/behavioral: no defect detected	71080	TAS	pentobarbital withdrawal
MGI:2151854	Pbwm	2154311	Pbwm<DBA/2J>	2154311	Pbwm<DBA/2J>	multiple	neurological/behavioral: no defect detected	71080	TAS	pentobarbital withdrawal
MGI:2151209	Pgia1	2154313	Pgia1<BALB/cCrl>	2154314	Pgia1<DBA/2Crl>	(BALB/cCrl x DBA/2Crl)F2	immune system: hypersensitivity	66460	TAS	autoantibody production
MGI:105970	Sbw1					(NZB x NZW)F2	immune system: hypersensitivity	20991	TAS	glomerulonephritis
MGI:105970	Sbw1					(NZB x NZW)F2	immune system: hypersensitivity	20991	TAS	autoantibody production
MGI:105970	Sbw1					(NZB x NZW)F2	survival: premature death	20991	TAS	mortality
MGI:108569	Scc3					(BALB/cHeA x CcS/Dem) F2	tumors: increased incidence	36996	TAS	colon tumor susceptibility
MGI:2149050	Skl1	2154320	Skl1<LG/J>			(LG/J x SM/J)F2	skeletal: no defect detected	62610	TAS	tail length
MGI:1351472	Skts8					(NIH/Ola x M. spretus)F1 x NIH/Ola 	tumors: increased incidence	59049	TAS	skin tumor susceptibility
MGI:2149680	Skull1					(LG/J x SM/J)F2	skeletal: no defect detected	53484	TAS	skull morphology
MGI:2149681	Skull2					(LG/J x SM/J)F2	skeletal: no defect detected	53484	TAS	skull morphology
MGI:105969	Sle1					B6.NZMH2	immune system: hypersensitivity	33173	TAS	SLE
MGI:105969	Sle1					(NZM2410 x C57BL/6)F2	immune system: hypersensitivity	52863	TAS	splenomegaly
MGI:105969	Sle1					(NZM2410 x C57BL/6)F2	immune system: hypersensitivity	52863	TAS	anti-dsDNA antibody production
MGI:2149096	Sle10	2154333	Sle10<BXSB/J>	2154333	Sle10<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	lymphoadenopathy
MGI:1931842	Sle1a	2154449	Sle1a<NZM2410/J>			(B6.Sle1 x C57BL/6J)F1 x C57BL/6J	immune system: hypersensitivity	67544	TAS	anti-chromatin antibody production
MGI:1931843	Sle1b	2154451	Sle1b<NZM2410/J>			(B6.Sle1 x C57BL/6J)F1 x C57BL/6J	immune system: hypersensitivity	67544	TAS	anti-chromatin antibody production
MGI:1931844	Sle1c	2154453	Sle1c<NZM2410/J>			(B6.Sle1 x C57BL/6J)F1 x C57BL/6J	immune system: hypersensitivity	67544	TAS	anti-chromatin antibody production
MGI:2149093	Sle7	2154335	Sle7<BXSB/J>	2154335	Sle7<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	glomerulonephritis
MGI:2149093	Sle7	2154335	Sle7<BXSB/J>	2154335	Sle7<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	anti-nuclear antibody production
MGI:2149093	Sle7	2154335	Sle7<BXSB/J>	2154335	Sle7<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	splenomegaly
MGI:2149095	Sle8	2154337	Sle8<BXSB/J>	2154337	Sle8<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	glomerulonephritis
MGI:2149095	Sle8	2154337	Sle8<BXSB/J>	2154337	Sle8<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	anti-nuclear antibody production
MGI:2149095	Sle8	2154337	Sle8<BXSB/J>	2154337	Sle8<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	splenomegaly
MGI:2149094	Sle9	2154339	Sle9<BXSB/J>	2154339	Sle9<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	anti-nuclear antibody production
MGI:2149094	Sle9	2154339	Sle9<BXSB/J>	2154339	Sle9<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	splenomegaly
MGI:2149094	Sle9	2154339	Sle9<BXSB/J>	2154339	Sle9<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	anti-dsDNA antibody production
MGI:2149094	Sle9	2154339	Sle9<BXSB/J>	2154339	Sle9<BXSB/J>	C57BL/10Ola x C56BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	60445	TAS	anti-ssDNA antibody production
MGI:1335083	Sluc5					(O20/A x OcB-6)F2	tumors: increased incidence	50525	TAS	lung tumor susceptibility
MGI:1335083	Sluc5					(O20/A x OcB-4)F2	tumors: increased incidence	50525	TAS	lung tumor susceptibility
MGI:1888685	Sst1	2154340	Sst1<C3HeB/FeJ>	2154340	Sst1<C3HeB/FeJ>	(C3HeB/FeJ x C57BL/6J)F2	immune system: no defect detected	63410	TAS	tuberculosis susceptibility
MGI:2151739	Stia1	2154343	Stia1<NOD/LtDOI>			(C57BL/6J x NOD/LtDOI)F2	immune system: hypersensitivity	70882	TAS	arthritis severity
MGI:1098770	Szs1	2154345	Szs1<DBA/2J>			(C57BL/6J x DBA/2J)F2	neurological/behavioral: seizures/epilepsy	70295	TAS	seizure susceptibility
MGI:1098770	Szs1	2154345	Szs1<DBA/2J>	2154345	Szs1<DBA/2J>	B6.D2-Mtv7a/Ty(Mtv7)	neurological/behavioral: seizures/epilepsy	70295	TAS	seizure susceptibility
MGI:1098770	Szs1	2154345	Szs1<DBA/2J>			(C57BL/6J x DBA/2J)F2	neurological/behavioral: seizures/epilepsy	56630	TAS	seizure susceptibility
MGI:1098770	Szs1					(C57BL/6J x DBA/2J)F2	neurological/behavioral: seizures/epilepsy	38888	TAS	seizure susceptibility
MGI:1345649	Szs5	2154347	Szs5<DBA/2J>			(C57BL/6J x DBA/2J)F2	neurological/behavioral: seizures/epilepsy	56630	TAS	seizure susceptibility
MGI:2150671	Tbrs1	2154348	Tbrs1<C57BL/6J>	2154348	Tbrs1<C57BL/6J>	(C57BL/6J x DBA/2J)F2	immune system: other functional anomaly	67658	TAS	tuberculosis resistance
MGI:2150671	Tbrs1	2154348	Tbrs1<C57BL/6J>	2154349	Tbrs1<DBA/2J>	(C57BL/6J x DBA/2J)F2	immune system: other functional anomaly	67658	TAS	tuberculosis resistance
MGI:2150671	Tbrs1	2154349	Tbrs1<DBA/2J>	2154349	Tbrs1<DBA/2J>	(C57BL/6J x DBA/2J)F2	immune system: other functional anomaly	67658	TAS	tuberculosis resistance
MGI:1891472	Tir3a					complex	immune system: other functional anomaly	63779	TAS	trypanosome resistance
MGI:1891473	Tir3b					complex	immune system: other functional anomaly	63779	TAS	trypanosome resistance
MGI:1891474	Tir3c					complex	immune system: other functional anomaly	63779	TAS	trypanosome resistance
MGI:2150122	Tlln					(C57BL/6J x DBA/2J)F2	skeletal: no defect detected	53812	TAS	tail length
MGI:2151921	Tne1					(NZB/BlNJ x C57BL/6By)F2	neurological/behavioral: motor capabilities/coordination/movement anomalies	71085	TAS	hindlimb coordination
MGI:1858756	Vertcling					(C57BL6/By x NZB/BlNJ)F2	neurological/behavioral: motor capabilities/coordination/movement anomalies	53794	TAS	vertical clinging
MGI:1344340	Wt10q1	2154366	Wt10Q1<MH>			(MH x C57BL/6J)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344340	Wt10q1	2154366	Wt10Q1<MH>			(MH x ML)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344329	Wt3q1	2154370	Wt3q1<MH>			(MH x C57BL/6J)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344428	Wt3q2	2154372	Wt3q2<MH>			(MH x C57BL/6J)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344348	Wt6q1	2154374	Wt6q1<MH>			(MH x C57BL/6J)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344348	Wt6q1	2154374	Wt6q1<MH>			(MH x ML)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:1344411	Wt6q2	2154378	Wt6q2<MH>			(MH x C57BL/6J)F2	growth/weight abnormality: postnatal	55483	TAS	body weight
MGI:2148988	Yaa2					BXSB/J x (C57BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	49868	TAS	nephritis
MGI:2148990	Yaa3					BXSB/J x (C57BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	49868	TAS	nephritis
MGI:2148991	Yaa4					BXSB/J x (C57BL/10Ola x BXSB/J)F1	immune system: hypersensitivity	49868	TAS	anti-dsDNA antibody production
