MGI_ID	BACKGROUND	GENE SYMBOL	STRAIN TYPE	TJL #	SPECIES	Std/Nonstd
13975	(MOLH/Fre x IS/Cam)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
12821	(MR x A2G)F1		F1 hybrid			Standard
13982	(MRL-Fas<lpr> x MOL-MIT)F1	Fas	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
14438	(MRL/MpJ-Fas<lpr> x CAST/Ei)F1	Fas	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
19557	(MSM +/+ x Stock Myo15<sh2>/Myo15<sh2>)F1	Myo15	F1 hybrid			Standard
14901	(MSM x ALY)F1	aly	F1 hybrid			Standard
14414	(MSM x C57BL/6J)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
19558	(MSM x Stock Myo15<sh2>/Myo15<sh2>)F1	Myo15	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
13023	(MTW/Le x CE/J)F1		F1 hybrid			Standard
16220	(MTW/Le x SM/J)F1		F1 hybrid			Standard
1745	(MV1 x 129X1/SvJ)F1		F1 hybrid			Standard
12681	(MWT/Le x SM/J)F1		F1 hybrid			Standard
13624	(MY/HuLe-my x Stock ma/ma)F1	my, ma	F1 hybrid			Standard
16471	(Mc1r<E-so>/Mc1r<E-so> x NFS/N) x NFS.Emv26)F1	Mc1r, Emv26	F1 hybrid			Standard
14938	(Mor2<am1H> x PTP)F1	Mor2	F1 hybrid			Standard
12759	(NB x SEAB)F1		F1 hybrid			Standard
12687	(NC x TF/GnLe)F1		F1 hybrid			Standard
17350	(NFS x DBA/1)F1		F1 hybrid			Standard
17356	(NFS.HM x DBA/2)F1		F1 hybrid			Standard
14856	(NFS/N or AKR/J or C58/J x M. m. musculus)F1				M. m. domesticus and M. m. musculus	Nonstandard
14187	(NFS/N or C58 x M. m. musculus)F1				M. m. domesticus and M. m. musculus	Nonstandard
14852	(NFS/N or C58/J or AKR/J x M. m. musculus)F1				M. m. domesticus and M. m. musculus	Nonstandard
14094	(NFS/N or C58/J x M. m. musculus or M. spretus)F1				M. m. musculus and M. spretus or M. m. domesticus	Nonstandard
13305	(NFS/N or C58/J x M. m. musculus)F1				M. m. domesticus and M. m. molossinus	Nonstandard
14596	(NFS/N or C58/J x M. m. musculus)F1 and (NFS/N or C58/J x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14959	(NFS/N or C58/J x M. m. musculus)F1 and (NFS/N x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14133	(NFS/N or C58/J x M. m. musculus)F1 or (NFS/N x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14743	(NFS/N or C58/J x M. m. musculus)F1 x (NFS/N x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14093	(NFS/N or C58/J x M. spretus)F1				M. m. domesticus and M. spretus	Nonstandard
14928	(NFS/N or C58/J) x SKIVE)F1					Nonstandard
12632	(NFS/N x C57BL/6J)F1		F1 hybrid			Standard
16234	(NFS/N x C57BR/J)F1		F1 hybrid			Standard
12962	(NFS/N x M. m. musculus)F1		F1 hybrid		M. m. domesticus and M. m. musculus	Standard
12613	(NFS/N x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14578	(NFS/N x M. spretus)F1 or (NFS/N or C58/J x M. m. musculus)F1				M. m. domesticus and M. spretus and M. m. musculus	Nonstandard
13307	(NFS/N x SKIVE)F1		F1 hybrid			Standard
13936	(NFS/N, C58/J or AKR/J x M. m. musculus)F1				M. m. domesticus and M. m. musculus	Nonstandard
15376	(NFS/N-Bxv1 x DBA/2J)F1	Bxv1	F1 hybrid			Standard
16707	(NIH x BALB/c)F1		F1 hybrid			Standard
16340	(NIH x V1 hybrid)F1		Not Specified			Nonstandard
29654	(NKT/Pas x MAI/Pas)F1		F1 hybrid			Standard
30167	(NMRI x C57BL/6)F1		F1 hybrid			Standard
12460	(NMRI x CD/CD)F1		Not Specified			Nonstandard
13129	(NMRI x M. spretus/Lub)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
12751	(NMRI x SK/Cam)F1		F1 hybrid			Standard
13046	(NMRI.Esr<o> x NMRI)F1		F1 hybrid			Standard
13047	(NMRI.Esr<o> x SK/Cam)F1	Esr	F1 hybrid			Standard
12823	(NMRI/F x KL/Oci)F1		Not Specified			Nonstandard
14098	(NOD x C57BL/10-H2<g7>)F1	H2	F1 hybrid			Standard
14640	(NOD x MOL-MIT)F1		F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
14526	(NOD x NON)F1		F1 hybrid			Standard
15712	(NOD x NON.NOD-H2<g7>)F1	H2	F1 hybrid			Standard
14772	(NOD x PWK)F1		F1 hybrid		M. m. domesticus and M. m. musculus (Prague)	Standard
15189	(NOD x PWK/Pas)F1		F1 hybrid		M. m. domesticus and M. m. musculus	Standard
14451	(NOD/Lt x NOD.NON-H2<g>)F1	H2	F1 hybrid			Standard
14449	(NOD/Lt x NON.NOD-H2<g>)F1	H2	F1 hybrid			Standard
14448	(NOD/Lt x NON/Lt)F1		F1 hybrid			Standard
14218	(NOD/Lt x SWR/JBm)F1		F1 hybrid			Standard
14715	(NOD/Mrk x B6.PL-Thy1<a>/Cy)F1	Thy1	F1 hybrid			Standard
16790	(NS.Hx<2n> x C4W)F1		Not Specified			
15159	(NZB x C57BL/10ScN)F1		F1 hybrid			Standard
16932	(NZB x C57BL/6)F1		F1 hybrid			Standard
12639	(NZB x NZC)F1		F1 hybrid			Standard
5037	(NZB x NZW)F1		F1 hybrid			Standard
13395	(NZB x SM/J)F1		F1 hybrid			Standard
13099	(NZB/BlNJ x AKR/J)F1		F1 hybrid			Standard
12616	(NZB/BlNJ x SM/J)F1		F1 hybrid			Standard
28266	(NZB/BlNJ-Dac/Dac x BALB/cJ)F1	Dac	F1 hybrid			Standard
12914	(NZB/BlNReJ x SM/J)F1		F1 hybrid			Standard
28584	(NZB/LacJ x I/LnJ)F1		F1 hybrid			Standard
13030	(NZB/Pt x SJL/J)F1		F1 hybrid			Standard
13375	(NZC x BALB/c)F1		F1 hybrid			Standard
15078	(NZC x Cas1<b>)F1	Cas1	F1 hybrid			Standard
12916	(NZC x M. m. castaneus)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12802	(NZC/Bl x LR19)F1		F1 hybrid			Standard
25554	(NZW/LacJ x BXSB/MpJ)F1		F1 hybrid	1058		Standard
13309	(NZW/LacJ x I/LnJ)F1		F1 hybrid			Standard
15134	(NZW/OlaHsd x CZECHII)F1		F1 hybrid		M. m. domesticus and M. m. musculus	Standard
14661	(Not Specified x A.CA)F1		Not Specified			Nonstandard
13592	(Not Specified x B6C3Fe-a/a)F1	a	Not Specified			Nonstandard
15157	(Not Specified x LVC)F1		Not Specified			Nonstandard
12658	(O20/A x DBA/A)F1		F1 hybrid			Standard
12657	(O20/A x GRS/A)F1		F1 hybrid			Standard
12648	(O20/A x TF/J)F1		F1 hybrid			Standard
29548	(OF1/Ico x BALB/cIco)F1		F1 hybrid			Standard
14943	(P/J x B10.D2/o)F1		F1 hybrid			Standard
16661	(P/J x NZW)F1		F1 hybrid			Standard
15369	(PL x B10.D2)F1		F1 hybrid			Standard
29815	(PL/J X C57BL/6J-pa)F1	pa	F1 hybrid			Standard
12723	(PL/J x C57BL/6J-pa)F1	pa	F1 hybrid			Standard
14569	(PL/J x C57BL/6J-pa/pa)F1	pa	F1 hybrid			Standard
9378	(PL/J x SJL)F1		F1 hybrid			Standard
16550	(PL/J x SJL/J)F1		F1 hybrid			Standard
1744	(PV1 x 129X1/SvJ)F1		Wild		Southern Illinois	Standard
14953	(PWK x Stock sa mu Ap3b1<pe>)F1	sa, mu, Ap3b1	F1 hybrid		M. m. musculus	Standard
29727	(Parkes x NIH)F1 x NIH		Outbred			Nonstandard
15221	(RBF/Dn x C57BL/6J-fz)F1-ln	fz, ln	F1 hybrid			Standard
15911	(RBF/Dn-kat/+ x CAST/Ei)F1	kat	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14295	(RBF/DnJ x C57BL/6J)F1		F1 hybrid			Standard
16090	(RBF/DnJ x MOLF/Ei)F1		F1 hybrid			Standard
16363	(RF x C57BL/6)F1		F1 hybrid			Standard
12888	(RF x DBA/2)F1		F1 hybrid			Standard
13038	(RIII-ro x C57BL/6-Re)F1	ro, Re	F1 hybrid			Standard
13024	(RIII/2J x C57BL/6J)F1		F1 hybrid			Standard
15984	(RIIIS/J x CASA/Rk)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12732	(RIIIS/J x MOR/Cv)F1		F1 hybrid			Standard
14396	(RSV x C57BL/6)F1-Sd/+	Sd	F1 hybrid			Standard
16456	(RSV/Le x CE/J)F1		F1 hybrid			Standard
12583	(Rb(4.6)2Bnr/Ei x BUB/BnJ)F1	Rb(4.6)2Bnr	F1 hybrid			Standard
14253	(Rb(4.6)2Bnr/Ei x C57BL/6J)F1	Rb(4.6)2Bnr	F1 hybrid, Robertsonian			Standard
12580	(Rb(4.6)2Bnr/Ei x RF/J)F1	Rb(4.6)2Bnr	F1 hybrid, Robertsonian			Standard
12294	(Rb(4.6)2Bnr/Rb(4.15)4Rma x ICR)F1	Rb(4.6)2Bnr, Rb(4.15)4Rma	F1 hybrid, Robertsonian			Standard
12640	(Rb(9.14)6Bnr x M. m. castaneus)F1	Rb(9.14)6Bnr	F1 hybrid, Robertsonian		M. m. castaneus	Standard
15706	(SAR x MAI)F1		F1 hybrid			Standard
29151	(SAR x MAI/Pas)F1	sar	F1 hybrid		M. m. musculus (Austria)	Standard
13352	(SB/Le x M. spretus)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
13443	(SB/Le-Lyst<bg> sa/Lyst<bg> sa x M. spretus)F1	Lyst, sa	F1 hybrid		M. m. domesticus and M. spretus	Standard
16235	(SEA/GnJ x AKR/J)F1		F1 hybrid			Standard
12880	(SEA/GnJ x MA/J)F1		F1 hybrid			Standard
12781	(SEAB x SEC)F1		F1 hybrid			Standard
16320	(SEC x WC)F1		F1 hybrid			Standard
12884	(SEC/Rl x 101/Rl)F1		F1 hybrid			Standard
14876	(SI/Col x M. m. musculus)F1		F1 hybrid			Standard
14110	(SI/Col x M. spretus)F1		F1 hybrid			Standard
29885	(SI/Col x M. spretus)F1 x SI/Col or SI/Col x M. m. musculus	Sl			M. m. domesticus and M. spretus and M. m. musculus	Nonstandard
28581	(SI/Col x M. spretus)F1 x SI/Col or SI/Col x M. m. musculus)F1 x SI/Col	Sl			M. m. domesticus and M. spretus and M. m. musculus	Nonstandard
14109	(SI/Col x MAI)F1		F1 hybrid			Standard
28704	(SJL x SWR)F1		F1 hybrid			Standard
13480	(SJL/J x BALB/c)F1		F1 hybrid			Standard
12953	(SJL/J x C3H/HeJ-md)F1	md	F1 hybrid			Standard
12292	(SJL/J x C57BL/6J)F1		F1 hybrid			Standard
13231	(SJL/J x SI/Col-iv/iv)F1	iv	F1 hybrid			Standard
28264	(SJL/J-Slc9a1<swe> x B6.SPRET)F1	Slc9a1	F1 hybrid			Standard
28263	(SJL/J-Slc9a1<swe> x C57BL/6J)F1	Slc9a1	F1 hybrid			Standard
16827	(SJL/JLw x CB6.C3-Hoxa13<Hd>/+)F1	Hoxa13	F1 hybrid			Standard
12637	(SKIVE x C57BL/6J-le)F1	le	F1 hybrid			Standard
13091	(SKIVE x NFS/N)F1		F1 hybrid			Standard
15183	(SM/Ckc-Dac x NZB/BlNJ)F1 and (SM/Ckc-Dac/+ x BALB/cBy)F1	Dac				Nonstandard
14581	(SM/J x C57BL/6J)F1		F1 hybrid			Standard
12866	(SM/J x DBA/2J)F1		F1 hybrid			Standard
12928	(SM/J x FS/Ei)F1		F1 hybrid			Standard
12906	(SM/J x LG/J)F1		F1 hybrid			Standard
12706	(SM/J x NZC/Bl)F1		F1 hybrid			Standard
12862	(SM/J x SWR/J)F1		F1 hybrid			Standard
13080	(SPE/Pas x C57BL/6)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14501	(SPRET/Ei x C57BL/6J)F1		F1 hybrid		M. m. domesticus and M. spretus	Standard
14557	(SSL/Le-Ednrb<s>/Ednrb<s> or SSL/Le-Ednrb<s-l>/Ednrb<s-l> x CAST/Ei)F1	Ednrb				Nonstandard
30109	(STOCK (Rb(6.16)24Lub x Rb(16.17)7BnrJ))F1	Rb(6.16)24Lub, Rb(16.17)7Bnr	Chromosome aberration	1887		Standard
28450	(STOCK uw Gpt1<b> Gdc1<d> bt<2J> x C57BL/6JEi-Eh/+)F1	uw, Gpt1, Gdc1, bt, Eh	F1 hybrid			Standard
16091	(STS/A x CXS4)F1		F1 hybrid			Standard
18194	(SW1 x BALB/c)F1		Not Specified			Nonstandard
14662	(SW1 x C57BL/6J)F1		Not Specified			Nonstandard
29686	(SWR x C3H/HeJ)F1		F1 hybrid			Standard
13392	(SWR x CXBG)F1		F1 hybrid			Standard
16237	(SWR/J x BALB/cN)F1		F1 hybrid			Standard
13391	(SWR/J x C3H/HeJ)F1		F1 hybrid			Standard
12885	(SWR/J x C57BL/10ScSn)F1		F1 hybrid			Standard
12897	(SWR/J x C57BL/6-Kit<W-v>)F1	Kit	F1 hybrid			Standard
12895	(SWR/J x C57BL/6-Mitf<Mi-wh>)F1	Mitf	F1 hybrid			Standard
16240	(SWR/J x C57BL/6By-Re Sd Va)F1	Re, Sd, Va	F1 hybrid			Standard
13465	(SWR/J x C57BL/6J)F1		F1 hybrid			Standard
12894	(SWR/J x C57L/J)F1		F1 hybrid			Standard
13396	(SWR/J x CXBG)F1		F1 hybrid			Standard
12889	(SWR/J x DBA/2J)F1		F1 hybrid			Standard
12904	(SWR/J x M. m. castaneus)F1		F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
18254	(SWR/J x RF/J)F1		F1 hybrid			Standard
16016	(SWR/Pas x BTBR/Pas)F1 +/+		F1 hybrid			Standard
16014	(SWR/Pas x BTBR/Pas)F1-hph2/+	hph2	F1 hybrid			Standard
30083	(Schneider stock x Cd/+)F1		Not Specified			Nonstandard
29355	(Stock +/Pit1<dw> x Stock dn/dn)F1	Pit1, dn	Mutant stock			Standard
13859	(Stock +T(5;12)31H/+ + x BALB/c-Reln<rl-Orl>/Reln<rl-Orl>-T(5;12)31H/+)F1	Reln, T(5;12)31H	F1 hybrid			Standard
26068	(Stock A<y>/a<x> x M. m. castaneus)F1-A/a<x>	A, a	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
28800	(Stock A<y>/a<x> x M. m. castaneus)F1-A<y>/A	A, a	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14305	(Stock A<y>/a<x> x M. m. castaneus)F1-A<y>/A or A/a<x>	A, a	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
14561	(Stock AX-A<y>/a<x> x CAST/Ei-A<ct>/A<ct>)F1	A, a	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15090	(Stock Ap3b1<pe>/Ap3b1<pe> x PWK)F1	Ap3b1	F1 hybrid		M. m. musculus	Standard
28284	(Stock Cat3<vao> x DBA or AKR)F1-Cat3<vao>	Cat3	F1 hybrid			Standard
15887	(Stock Col2a1<Dmm>/+ x C58/J)F1	Col2a1	F1 hybrid			Standard
29100	(Stock Dbf/+ x M. spretus)F1	Dbf	F1 hybrid		M. m. domesticus and M. spretus	Standard
29106	(Stock Dbf/+ x M. spretus)F1 and (3H1 x M. spretus)F1	Dbf			M. m. domesticus and M. spretus	Nonstandard
29101	(Stock Dbf/+ x M. spretus)F1 or (3H1 x M. spretus)F1	Dbf	F1 hybrid		M. m. domesticus and M. spretus	Nonstandard
27436	(Stock Dh/+ x C57BL/6)F1	Dh	F1 hybrid			Standard
30259	(Stock Edar<dl> gr/Edar<dl> gr x M. m. molossinus)F1	Edar, gr	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
25115	(Stock Gus<a> Mor1<b> x CBA/J)F1	Gus	F1 hybrid			Standard
14572	(Stock Hgd<aku>/Hgd<aku> x PWK)F1	Hgd	F1 hybrid			Standard
12714	(Stock Hm Pgm1<b> bf Gus<b> Mor1<a> x Stock + Pgm1<a> + Gus<a> Mor1<b>)F1	Hm, Pgm1, bf, Gus, Mor1	F1 hybrid			Standard
16077	(Stock Jag2<sm> x MOLF/Ei)F1	Jag2	F1 hybrid			Standard
15416	(Stock Jag2<sm>/Jag2<sm> x 129/Sv-Chx10<or-J>/Chx10<or-J>)F1	Jag2, Chx10	F1 hybrid			Standard
15094	(Stock Kit<W-sh>/Kit<W-sh> Lyst<bg>/Lyst<bg> x PAC)F1	Kit, Lyst	F1 hybrid			Standard
13638	(Stock Kit<W-sh>/Kit<W-sh> Lyst<bg>/Lyst<bg> x PWK)F1	Kit, Lyst	F1 hybrid		M. m. domesticus and M. m. musculus	Standard
15603	(Stock Krd/+ x SPRET/Ei)F1	Krd	F1 hybrid		M. m. domesticus and M. spretus	Standard
16236	(Stock Lp/+ x NFS/N)F1	Lp	F1 hybrid			Standard
16213	(Stock Lp/+ x SEC/ReJ)F1	Lp	F1 hybrid			Standard
29097	(Stock Myo15<sh2>/Myo15<sh2> x MSM)F1	Myo15	F1 hybrid			Standard
14376	(Stock Nsdhl<Bpa>/+ x M. spretus)F1	Nsdhl	F1 hybrid		M. m. domesticus and M. spretus	Standard
28560	(Stock Pdnp1<ttw>/Pdnp1<ttw> x IPI)F1	Pdnp1				Nonstandard
29360	(Stock Pdnp1<ttw>/Pdnp1<ttw> x MSM)F1	Pdnp1	F1 hybrid			Standard
14828	(Stock Ra Eef1a2<wst> x M. spretus)F1	Ra, Eef1a2	F1 hybrid		M. m. domesticus and M. spretus	Standard
14824	(Stock Ra/+ x M. spretus)F1	Ra	F1 hybrid			Standard
15226	(Stock Rb(1.2)18Lub x C57BL/6-Sd pa)F1	Rb(1.2)18Lub, Sd, pa	F1 hybrid			Standard
15224	(Stock Rb(1.2)18Lub x C57BL/6J-fz ln)F1	Rb(1.2)18Lub, fz, ln	F1 hybrid			Standard
28756	(Stock Rb(1.3)1Bnr/Rb(1.3)1Bnr x NMRI)F1	Rb(1.3)1Bnr	F1 hybrid			Standard
15262	(Stock Rb(1.3)1Ei x C57BL/6J-fz ln)F1	Rb(1.3)1Ei, fz, ln	F1 hybrid			Standard
15242	(Stock Rb(1.7)1Rma x C57BL/6J)F1	Rb(1.7)1Rma	F1 hybrid			Standard
17327	(Stock Rb(10.11)8Bnr x AKR/ABom)F1	Rb(10.11)8Bnr	F1 hybrid			Standard
29705	(Stock Rb(11.13)4Bnr-rd3/rd3 x C57BL/6J)F1	Rb(11.13)4Bnr, rd3	F1 hybrid			Standard
15258	(Stock Rb(16.17)7Bnr x C3H/HeJ-md)F1	Rb(16.17)7Bnr	F1 hybrid			Standard
14473	(Stock Rb(2.8)2Lub x us stock)F1	Rb(2.8)2Lub, us	F1 hybrid			Standard
29158	(Stock Rb(4.6)2Bnr/Ei x BUB/BnJ)F1	Rb(4.6)2Bnr	F1 hybrid			Standard
15244	(Stock Rb(6.7)13Rma x C57BL/6J)F1	Rb(6.7)13Rma	F1 hybrid			Standard
15246	(Stock Rb(6.7)13Rma x CBA)F1	Rb(6.7)13Rma	F1 hybrid			Standard
15249	(Stock Rb(7.18)9Lub x C57BL/6J)F1	Rb(7.18)9Lub	F1 hybrid			Standard
15248	(Stock Rb(7.18)9Lub x CBA)F1	Rb(7.18)9Lub	F1 hybrid			Standard
24918	(Stock Rb(9.14)6Bnr x M. m. castaneus)F1	Rb(9.14)6Bnr	F1 hybrid		M. m. castaneus	Standard
15868	(Stock Rbt/+ x NMRI)F1	Rbt	F1 hybrid			Standard
1370	(Stock Rw Fgf5<go> bf/+ Fgf5<go> bf x M. spretus)F1	Rw, Fgf5, bf	F1 hybrid		M. m. domesticus and M. spretus	Standard
14761	(Stock Rw go bf/+ go bf x M. spretus)F1	Rw, go, bf	F1 hybrid			Standard
14474	(Stock Sd linkage x Stock us)F1	Sd, us	F1 hybrid			Standard
29142	(Stock Sd x Stock us)F1	Sd, us	F1 hybrid			Standard
12950	(Stock Sig x Stock Ldh2)F1	Sig, Ldh2	F1 hybrid			Standard
12910	(Stock Sig x Stock Tpi)F1	Sig, Tpi	F1 hybrid			Standard
14426	(Stock Slk x LIII)F1		F1 hybrid			Nonstandard
28646	(Stock Stpy/+ x M. spretus)F1	Stpy	F1 hybrid			Standard
14375	(Stock Str/+ x CASA/Rk)F1	Str	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
29799	(Stock T(1;2)5Ca stock x 129X1/SvJ)F1	T(1;2)5Ca	F1 hybrid		Wild and M. m. domesticus	Standard
29040	(Stock T(2;16)28H x M. spretus)F1	T(2;16)28H	F1 hybrid		M. spretus	Standard
15675	(Stock T(2;16)28H/T(2;16)28H x M. spretus)F1	T(2;16)28H	F1 hybrid		M. spretus	Standard
1741	(Stock T(2;19)68H x 129X1/SvJ)F1		F1 hybrid		M. spretus	Standard
1831	(Stock T(2;8)2Wa x M. spretus)F1	T(2;8)2Wa	F1 hybrid		M. spretus	Standard
26502	(Stock T(2;8)2Wa/T(2;8)2Wa x M. spretus)F1	T(2;8)2Wa	F1 hybrid		M. spretus	Standard
1738	(Stock T(3;12)58H x 129X1/SvJ)F1	T(3;12)58H	F1 hybrid			Standard
14364	(Stock T(5;12)31H x C.B6-Reln<rl>)F1	T(5;12)31H, Reln	F1 hybrid			Standard
1740	(Stock T(7;16)67H x 129X1/SvJ)F1	T(7;16)67H	F1 hybrid		Wild and M. m. domesticus	Standard
13945	(Stock Tg.EB x MHGR)F1	Tg.EB	F1 hybrid			Standard
13943	(Stock Tg.EB x WC-Mgf<Sl>/+)F1	Tg.EB, Mgf	F1 hybrid			Standard
15666	(Stock To3/+ x PT)F1	To3	F1 hybrid			Standard
12769	(Stock Tyr<c> nv/Tyr<c> nv x C57BL/6J)F1	Tyr, nv	F1 hybrid			Standard
14475	(Stock Ul x Stock us)F1	Ul, us	F1 hybrid			Standard
28691	(Stock Ul/+ x MOLF/Ei)F1	Ul	F1 hybrid			Standard
16071	(Stock bv/bv x 101/H)F1	bv	F1 hybrid			Standard
15003	(Stock ct/ct x C57BL/6J)F1	ct	F1 hybrid			Standard
15002	(Stock ct/ct x DBA/2J)F1	ct	F1 hybrid			Standard
12642	(Stock cw x M. m. molossinus)F1	cw	F1 hybrid		M. m. molossinus and M. m. domesticus	Standard
15283	(Stock dds x CAST/Ei)F1	dds	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
15282	(Stock dds x RBJ/Dn)F1	dds	F1 hybrid			Standard
15444	(Stock din/din x CAST/Ei)F1	din	F1 hybrid		M. m. domesticus and M. m. castaneus	Standard
12744	(Stock dl gr/dl gr x M. m. molossinus)F1					Standard
28350	(Stock ds x CAST/Ei)F1	ds	F1 hybrid			Standard
1420	(Stock dsu Myo5a<d-v>/dsu Myo5a<d-v> x M. spretus)F1	dsu, Myo5a	F1 hybrid			Standard
14908	(Stock dsu Myo5a<d>/dsu Myo5a<d> x M. spretus)F1	dsu, Myo5a	F1 hybrid		M. m. domesticus and M. spretus	Standard
12590	(Stock dsu x DBA/2J)F1	dsu	F1 hybrid			Standard
15642	(Stock fz + ln/+ Tsk2 +)F1	fz, ln, Tsk2	F1 hybrid			Standard
16010	(Stock hug/hug x MEV)F1	hug	F1 hybrid			Standard
15044	(Stock jvs x C57BL/6J)F1	jvs	F1 hybrid			Standard
14984	(Stock ky/ky x M. spretus)F1	ky	F1 hybrid		M. m. domesticus and M. spretus	Standard
12954	(Stock md Igl-1<b> + x C57BLKS-Bst/+)F1	md, Igl-1, Bst	F1 hybrid			Standard
13257	(Stock md/md Igl-1<b>/Igl-1<b> x C.B17/Icr-Prkdc<scid>/Prkdc<scid>)F1	Igl-1, Prkdc	F1 hybrid			Standard
28585	(Stock pma x MSM)F1	pma	F1 hybrid			Standard
19313	(Stock rlc x MOM/Ms)F1	rlc	F1 hybrid			Standard
14951	(Stock shmy/shmy x CAST/Ei)F1	shmy	F1 hybrid		M. m. castaneus	Standard
29291	(Stock sy<ns>/sy<ns> x CAST/Ei)F1	sy	F1 hybrid			Standard
14476	(Stock us x M. spretus)F1	us	F1 hybrid		M. m. domesticus and M. spretus	Standard
28348	(Stock uw Gpt1<b> Gdc1<d> bt<2J> x C57BL/6Ei-Eh/+)F1	uw, Gpt1, Gdc1, bt, Eh	F1 hybrid			Standard
29847	(Stock uw Gpt1<b> Gdc1<d> bt<2J> x C57BL/6JEi-Eh/+)F1	uw, Gpt1, Gdc1, bt, Eh	F1 hybrid			Standard
12743	(Stock v/v x M. m. molossinus)F1	v	F1 hybrid		M. m. molossinus and M. m. domesticus	Standard
29104	(Stock x Dbf/+ x M. spretus)F1	Dbf	F1 hybrid			Standard
29971	(StockT x 101/H)F1	T	F1 hybrid			Standard
15277	(Swiss Schneider stock x Cd/+)F1	Cd	Not Specified			Nonstandard
29685	(Swiss Webster x C57BL/6)F1		F1 hybrid			Standard
12685	(Swiss Webster x DBA/2J)F1		F1 hybrid			Standard
16513	(T stock x 101/H)F1	T	F1 hybrid			Standard
28745	(T x 101/H)F1		F1 hybrid			Standard
29181	(T(1;2)5Ca stock x 129X1/SvJ)F1	T(1;2)5Ca	Chromosome Aberration, Translocation			Standard
1739	(T(1;2)5Ca x 129X1/SvJ)F1	T(1;2)5Ca	Chromosome Aberration, Translocation			Standard
15574	(TSJ/Le x RSV/Le)F1		F1 hybrid			Standard
15693	(TSJ/Le-Ts/+ x MSM)F1	Ts	F1 hybrid		M. m. domesticus and M. m. molossinus	Standard
28685	(TSJ/Le-Ts/+ x MSM)F1-Ts/+	Ts	F1 hybrid			Standard
15870	(TSJ/Le-Tyrp1<b>/Tyrp1<b> Ts/+ x C57BL/6J)F1	Tyrp, Ts	F1 hybrid			Standard
13946	(Tg.EB x ATEB/Le)F1	Tg.EB	F1 hybrid			Standard
29189	(To3/+ stock x PT)F1	To3	F1 hybrid			Standard
15358	(VT-Wnt3a<vt>/Wnt3a<vt> x CASA/Rk)F1	Wnt3a	F1 hybrid			Standard
6407	(WB/Re x C57BL/6J)F1-Spnb1<ja>/Spnb1<ja>	Spnb1	F1 hybrid			Standard
13000	(WHT/Ht x DBA/2)F1		F1 hybrid			Standard
12949	(Wild x C57BL/6J)F1		Not Specified			Nonstandard
12943	(Wild x SWR/J)F1		Not Specified			Nonstandard
15593	(YBR/WiCv x C57BL/6J)F1		F1 hybrid		M. m. musculus and M. m. domesticus	Standard
29149	(ddY-DAO<-> x NZB/Kl)F1		Outbred and inbred			Nonstandard
14515	(hr<TgN5053> x CAST/Ei)F1	hr	F1 hybrid			Standard
14665	(mutant stock x linkage stock)F1		Not Specified			Nonstandard
29427	(tc/tc x CAST/Ei)F1 x tc/tc	tc	F1 hybrid			Standard
29429	(tc/tc x MOLF/Ei)F1 x tc/tc	tc				Standard
29638	(wi/wi x CAST/Ei)F1	wi	F1 hybrid		M. m. castaneus	Standard
29641	(wi/wi x CBA/Ca)F1	wi	F1 hybrid			Standard
12967	+ +/+ +		Not Specified			Nonstandard
29011	+/+		Not Specified			Nonstandard
597	101		Strain family			Standard
156	101/H		Substrain			Standard
26613	101/HY		Substrain			Standard
25626	101/Nhg		Substrain			Standard
452	101/Orr		Substrain			Standard
600	101/Rl		Substrain			Standard
26106	101/Sl		Substrain			Standard
24639	102		Strain family			Standard
1360	102/El		Substrain			Standard
1649	102/H		Substrain			Standard
27302	102/Sl		Substrain			Standard
29248	1194		Strain family			Standard
19705	11G		Not Specified			Nonstandard
376	129		Strain family			Standard
29716	129 and C57BL/6J					Nonstandard
29713	129 and CF1					Nonstandard
26954	129,FVB-Bcl3<tm1>	Bcl3	Mutant stock			Standard
